"entity","years_in_sample","political_regime","democracy_index","cpi","extreme_poverty","gini","gdp_pc","modal_regime","modal_regime_family","years_with_aid","china_aid_usd2021_total","china_aid_usd2021_unadjusted_total","china_project_count_total","china_loan_share","china_development_intent_share","china_aid_usd2021","china_project_count","aid_any","log_china_aid","log_china_aid_total","log_gdp_pc","autocracy_score","regime_family","regime_label"
"Bosnia and Herzegovina",9,2,4.89888888888889,39,NA,NA,15734.9551111111,"Electoral democracy","Democratic",9,1624726591.66119,1624726591.66119,35,0.114285714285714,0.657142857142857,180525176.851243,3.88888888888889,1,19.01138081549,21.2086053879023,9.6636399566893,1,"Democratic","Electoral democracy"
"Botswana",9,2.88888888888889,7.81888888888889,62,15.426243,0.5332503,17095.2614444444,NA,NA,9,52226306.1274037,52226306.1274037,68,0,0.955882352941177,5802922.90304485,7.55555555555556,1,15.5738724697049,17.7710968938616,9.74655659557707,0.111111111111111,NA,"Liberal democracy"
"Brazil",9,2,6.98111111111111,39.1666666666667,4.38548962222222,0.525073262222222,18162.9717777778,"Electoral democracy","Democratic",9,33823164100.6493,33823164100.6493,131,0.748091603053435,0.267175572519084,3758129344.51659,14.5555555555556,1,22.0471871560565,24.2444117331562,9.8071402829178,1,"Democratic","Electoral democracy"
"British Virgin Islands",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"Brunei",9,NA,NA,60.75,NA,NA,80725.7627777778,NA,NA,8,2144865891.16212,2144865891.16212,42,0.166666666666667,0.761904761904762,238318432.351347,4.66666666666667,1,19.2891182926289,21.4863428662353,11.2988130446717,NA,NA,NA
"Bulgaria",9,2,6.90555555555556,41.8333333333333,1.43812106666667,0.394004233333333,25800.1342222222,"Electoral democracy","Democratic",6,953148626.707396,953148626.707396,24,0.291666666666667,0.708333333333333,105905402.967488,2.66666666666667,1,18.4780568382356,20.6752814071786,10.1581349733079,1,"Democratic","Electoral democracy"
"Burkina Faso",9,1.88888888888889,4.30555555555556,39.8333333333333,32.0279193333333,0.385697483333333,2245.808,NA,NA,4,446901807.198505,446901807.198505,53,0.0566037735849057,0.962264150943396,49655756.3553894,5.88888888888889,1,17.7206249005523,19.9178494599875,7.7168206463371,1.11111111111111,NA,"Electoral democracy"
"Burundi",9,1,2.52333333333333,20.1666666666667,63.599325,0.38040042,893.336106666667,"Electoral autocracy","Authoritarian",9,196200509.411931,196200509.411931,63,0.0476190476190476,0.968253968253968,21800056.6013257,7,1,16.8974231700185,19.0946477065801,6.79496288930959,2,"Authoritarian","Electoral autocracy"
"Cabo Verde",9,NA,NA,NA,NA,NA,NA,NA,NA,9,198191805.955974,198191805.955974,52,0.0384615384615385,0.884615384615385,22021311.7728859,5.77777777777778,1,16.907521304779,19.1047458417503,NA,NA,NA,NA
"Cambodia",9,1,3.85222222222222,20.6666666666667,NA,NA,5540.02818888889,"Electoral autocracy","Authoritarian",9,10497049744.0786,10497049744.0786,213,0.352112676056338,0.723004694835681,1166338860.45318,23.6666666666667,1,20.8771355013953,23.0743600779694,8.61975486797548,2,"Authoritarian","Electoral autocracy"
"Cameroon",9,1,3.22333333333333,25.8333333333333,24.324868,0.444084735,4735.18963333333,"Electoral autocracy","Authoritarian",9,6557662765.42375,6557662765.42375,104,0.230769230769231,0.836538461538462,728629196.158195,11.5555555555556,1,20.4066755146952,22.6039000908115,8.46277705409665,2,"Authoritarian","Electoral autocracy"
"Canada",9,2.88888888888889,9.11333333333333,81.6666666666667,0.282697282857143,0.329960021428571,55149.6241111111,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.9178052089034,0.111111111111111,NA,"Liberal democracy"
"Cape Verde",9,2,7.81333333333333,56.8333333333333,4.5642314,0.42381087,7904.85915555555,"Electoral democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,8.97523293235082,1,"Democratic","Electoral democracy"
"Cayman Islands",9,NA,NA,NA,NA,NA,74172.7527777778,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,11.2141521484787,NA,NA,NA
"Central African Republic",9,1,1.47444444444444,23.6666666666667,65.66651,0.43027893,1084.04494666667,"Electoral autocracy","Authoritarian",9,299888781.214278,299888781.214278,62,0.0161290322580645,0.903225806451613,33320975.6904753,6.88888888888889,1,17.3216976872726,19.5189222379322,6.98845464485463,2,"Authoritarian","Electoral autocracy"
"Chad",9,0.888888888888889,1.54888888888889,20.3333333333333,30.882942,0.37499154,1967.66016666667,NA,NA,9,404373551.908344,404373551.908344,83,0.0120481927710843,0.963855421686747,44930394.6564826,9.22222222222222,1,17.6206250870722,19.8178496446247,7.58460038316208,2.11111111111111,NA,"Electoral autocracy"
"Chile",9,2.77777777777778,7.92333333333333,69,0.66192028,0.4611048775,27844.7295555556,NA,NA,9,5399557495.03449,5399557495.03449,58,0.5,0.482758620689655,599950832.78161,6.44444444444444,1,20.2123582661255,22.4095828419801,10.2343989834808,0.222222222222222,NA,"Liberal democracy"
"China",9,0,2.82666666666667,38.8333333333333,0.563425375555556,0.382851356666667,16471.6762222222,"Closed autocracy","Authoritarian",0,0,0,0,NA,NA,0,0,0,0,0,9.70939759226275,3,"Authoritarian","Closed autocracy"
