"entity","years_in_sample","political_regime","democracy_index","cpi","extreme_poverty","gini","gdp_pc","modal_regime","modal_regime_family","years_with_aid","china_aid_usd2021_total","china_aid_usd2021_unadjusted_total","china_project_count_total","china_loan_share","china_development_intent_share","china_aid_usd2021","china_project_count","aid_any","log_china_aid","log_china_aid_total","log_gdp_pc","autocracy_score","regime_family","regime_label"
"Kazakhstan",9,1,3.05666666666667,29,0.0270451236111111,0.276885738888889,31658.4761111111,"Electoral autocracy","Authoritarian",9,16942422225.009,16942422225.009,81,0.666666666666667,0.407407407407407,1882491358.33433,9,1,21.3558619276327,23.5530865044968,10.3627611993363,2,"Authoritarian","Electoral autocracy"
"Kenya",9,1.44444444444444,5.15777777777778,26.3333333333333,33.5142573333333,0.38574116,4876.03912222222,NA,NA,9,10554275502.5235,10554275502.529,108,0.305555555555556,0.777777777777778,1172697278.05816,12,1,20.8825722991917,23.0797968757699,8.49208851399437,1.55555555555556,NA,"Electoral autocracy"
"Kiribati",9,NA,NA,NA,1.6780767,0.27832702,2742.16316666667,NA,NA,3,161435167.085609,161435167.085609,47,0.0212765957446809,0.914893617021277,17937240.7872899,5.22222222222222,1,16.7023896562468,18.8996141840276,7.91650236479481,NA,NA,NA
"Kosovo",9,2,NA,35.1666666666667,0.713367552,0.27153,10617.4944444444,"Electoral democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,9.27025833894212,1,"Democratic","Electoral democracy"
"Kuwait",9,1,3.84444444444444,42.8333333333333,NA,NA,54483.8746666667,"Electoral autocracy","Authoritarian",0,0,0,0,NA,NA,0,0,0,0,0,10.9056600591951,2,"Authoritarian","Electoral autocracy"
"Kyrgyzstan",9,1,4.79222222222222,27.5,1.30031523777778,0.28213443,5713.60554444444,"Electoral autocracy","Authoritarian",9,2184106878.94235,2184106878.94235,70,0.128571428571429,0.785714285714286,242678542.104705,7.77777777777778,1,19.3072482576608,21.5044728313342,8.65060554723394,2,"Authoritarian","Electoral autocracy"
"Laos",9,0,2.15777777777778,27.3333333333333,7.1383624,0.38802433,7271.28148888889,"Closed autocracy","Authoritarian",9,16346393383.9725,16642788458.9675,196,0.285714285714286,0.755102040816326,1816265931.5525,21.7777777777778,1,21.3200485450347,23.5172731218815,8.89168782581747,3,"Authoritarian","Closed autocracy"
"Latin America and Caribbean (WB)",9,NA,NA,NA,NA,NA,18670.8674444444,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,9.83471969739777,NA,NA,NA
"Latvia",9,2.77777777777778,7.32,56.1666666666667,0.61140385,0.349175642222222,31508.5975555556,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.3580157258445,0.222222222222222,NA,"Liberal democracy"
"Lebanon",9,1,4.62222222222222,27.8333333333333,NA,NA,14926.6849444444,"Electoral autocracy","Authoritarian",9,407707598.691044,407707598.691044,50,0.02,0.96,45300844.2990049,5.55555555555556,1,17.6288362503014,19.8260608080157,9.61090582598887,2,"Authoritarian","Electoral autocracy"
"Lesotho",9,2,6.54666666666667,44,32.39991,0.44877714,2832.83228888889,"Electoral democracy","Democratic",9,294812187.259188,294812187.259188,72,0.0277777777777778,0.944444444444444,32756909.6954654,8,1,17.3046245113873,19.5018490615876,7.94903229895671,1,"Democratic","Electoral democracy"
"Liberia",9,2,5.21555555555556,35.3333333333333,26.7742545,0.34251615,1645.96614444444,"Electoral democracy","Democratic",9,875656843.194483,875656843.194483,113,0.0265486725663717,0.973451327433628,97295204.799387,12.5555555555556,1,18.3932602735825,20.5904848417827,7.40608281264422,1,"Democratic","Electoral democracy"
"Libya",9,0.222222222222222,2.61666666666667,16.1666666666667,NA,NA,13536.1848888889,NA,NA,4,10738123.9722934,10738123.9722934,7,0,1,1193124.88581038,0.777777777777778,1,13.9920872158907,16.1893110482182,9.51312174080184,2.77777777777778,NA,"Closed autocracy"
"Lithuania",9,2.33333333333333,7.42333333333333,58.5,0.765880372222222,0.366213265555556,39547.484,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.5852573554959,0.666666666666667,NA,"Electoral democracy"
"Low-income countries",9,NA,NA,NA,NA,NA,2307.07382222222,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,7.74373525689119,NA,NA,NA
"Lower-middle-income countries",9,NA,NA,NA,NA,NA,6949.42714444444,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,8.8464145099019,NA,NA,NA
"Luxembourg",9,3,8.80444444444444,81.8333333333333,0.151727138666667,0.331195756666667,133341.13,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,11.8006660107124,0,"Democratic","Liberal democracy"
"Macao",9,NA,NA,NA,NA,NA,124653.197333333,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,11.7332907391108,NA,NA,NA
"Madagascar",9,1,5.11444444444444,26.5,NA,NA,1639.41368888889,"Electoral autocracy","Authoritarian",9,581069773.298056,581069773.298056,89,0.0561797752808989,0.932584269662921,64563308.1442284,9.88888888888889,1,17.9831568374932,20.1803814010617,7.40209395012239,2,"Authoritarian","Electoral autocracy"
"Malawi",9,1.88888888888889,5.63555555555556,32.5,67.89816,0.41618195,1625.29516666667,NA,NA,9,637598675.955533,698868675.955256,144,0.0763888888888889,0.965277777777778,70844297.3283925,16,1,18.0759950456106,20.2732196103998,7.39344471929475,1.11111111111111,NA,"Electoral democracy"
"Malaysia",9,1,6.77333333333333,49.1666666666667,0.0160105735,0.410651075,28779.4561111111,"Electoral autocracy","Authoritarian",9,14637423686.1038,15654591844.863,143,0.265734265734266,0.713286713286713,1626380409.56709,15.8888888888889,1,21.2096227755472,23.4068473523369,10.2674170821082,2,"Authoritarian","Electoral autocracy"
"Maldives",9,1.33333333333333,NA,33.3333333333333,0,0.302853685,18953.3595555556,NA,NA,9,1743365709.249,1743365709.249,62,0.17741935483871,0.758064516129032,193707301.027667,6.88888888888889,1,19.0818588252798,21.2790833980272,9.84973648005099,1.66666666666667,NA,"Electoral autocracy"
"Mali",9,1.22222222222222,5.16333333333333,31.6666666666667,18.0340305,0.35808477,2318.63892222222,NA,NA,9,934957755.358323,934957755.358323,70,0.1,0.942857142857143,103884195.039814,7.77777777777778,1,18.4587873370872,20.6560119058669,7.74873562104538,1.77777777777778,NA,"Electoral autocracy"
"Malta",9,2,8.11222222222222,56,0.12871932575,0.29591211375,50331.9954444444,"Electoral democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.8263962462017,1,"Democratic","Electoral democracy"
"Marshall Islands",9,NA,NA,NA,0.85434437,0.35482943,5432.36266666667,NA,NA,9,3807512534.09383,3807512534.09383,43,1,0.0232558139534884,423056948.232648,4.77777777777778,1,19.8630173597042,22.0602419349393,8.60012943186013,NA,NA,NA
"Mauritania",9,1,3.97444444444444,28.8333333333333,5.922755,0.32308046,5956.63058888889,"Electoral autocracy","Authoritarian",9,782939966.994933,782939966.994933,92,0.0760869565217391,0.91304347826087,86993329.6661036,10.2222222222222,1,18.2813420146701,20.4785665817884,8.69226026276118,2,"Authoritarian","Electoral autocracy"
"Mauritius",9,2.11111111111111,8.19777777777778,52.3333333333333,0.12531371,0.36761206,23051.8494444444,NA,NA,9,508156821.464906,508156821.464906,81,0.111111111111111,0.802469135802469,56461869.0516563,9,1,17.8490761019495,20.0463006635426,10.0455012814075,0.888888888888889,NA,"Electoral democracy"
"Mexico",9,2,6.32666666666667,31.1666666666667,2.576856175,0.4659352275,21460.0678888889,"Electoral democracy","Democratic",9,1691349300.04976,1691349300.04976,68,0.323529411764706,0.602941176470588,187927700.005529,7.55555555555556,1,19.051567877709,21.2487924503153,9.97394917968802,1,"Democratic","Electoral democracy"
"Micronesia",9,NA,NA,NA,16.028437,0.4005239,3805.73595555556,NA,NA,9,135351312.908659,135351312.908659,76,0,0.973684210526316,15039034.7676288,8.44444444444444,1,16.5261597632359,18.7233842814666,8.24426466961016,NA,NA,NA
"Middle East and North Africa (WB)",9,NA,NA,NA,NA,NA,17840.5288888889,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,9.78922805193273,NA,NA,NA
"Middle-income countries",9,NA,NA,NA,NA,NA,11864.5408888889,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,9.381309473548,NA,NA,NA
"Moldova",9,2,6.04666666666667,32.8333333333333,0.024137175125,0.26506341625,13074.0584444444,"Electoral democracy","Democratic",9,31164962.7912504,31164962.7912504,25,0,0.76,3462773.64347227,2.77777777777778,1,15.0575807457465,17.2548050663842,9.47838527444297,1,"Democratic","Electoral democracy"
"Mongolia",9,2,6.53,37.8333333333333,0.581878386666667,0.323748376666667,14449.1480555556,"Electoral democracy","Democratic",9,4548448877.13389,19452252907.4599,163,0.263803680981595,0.662576687116564,505383208.570432,18.1111111111111,1,20.0408275303056,22.238052105883,9.57839073370944,1,"Democratic","Electoral democracy"
"Montenegro",9,1.11111111111111,5.83111111111111,44.3333333333333,2.26338975555556,0.371476454444444,22747.4263333333,NA,NA,9,1181389248.24812,1181389248.24812,25,0.16,0.8,131265472.027569,2.77777777777778,1,18.6927323422214,20.8899569127859,10.0322072897745,1.88888888888889,NA,"Electoral autocracy"
"Morocco",9,0,4.72666666666667,38.6666666666667,1.4431101,0.39548507,8293.26041111111,"Closed autocracy","Authoritarian",8,992249114.641926,992249114.641926,31,0.193548387096774,0.806451612903226,110249901.626881,3.44444444444444,1,18.5182601890879,20.7154847583617,9.0231984652739,3,"Authoritarian","Closed autocracy"
"Mozambique",9,1,4.06555555555556,27.8333333333333,69.584605,0.52115175,1489.92917777778,"Electoral autocracy","Authoritarian",9,3826736311.20888,3826736311.20888,77,0.220779220779221,0.818181818181818,425192923.467653,8.55555555555556,1,19.868053563813,22.0652781390587,7.30648386611707,2,"Authoritarian","Electoral autocracy"
"Myanmar",9,0.888888888888889,3.26888888888889,25.1666666666667,4.10407955,0.3438269,5590.63828888889,NA,NA,9,2345165485.84601,2345165485.84601,301,0.0963455149501661,0.857142857142857,260573942.871779,33.4444444444444,1,19.3783972325133,21.5756218064383,8.62884874368948,2.11111111111111,NA,"Electoral autocracy"
"Namibia",9,2,6.34777777777778,51,15.617013,0.5906661,11154.1543333333,"Electoral democracy","Democratic",8,481732068.253638,481732068.253638,116,0.0258620689655172,0.96551724137931,53525785.3615154,12.8888888888889,1,17.795674083813,19.9928986445425,9.31956729344453,1,"Democratic","Electoral democracy"
"Nauru",9,NA,NA,NA,NA,NA,11142.9953888889,NA,NA,1,16462.1774151902,16462.1774151902,1,0,1,1829.13082391002,0.111111111111111,1,7.51214273175571,9.70888149419144,9.31856636323461,NA,NA,NA
"Nepal",9,1.88888888888889,4.93777777777778,29.6666666666667,NA,NA,4060.74242222222,NA,NA,9,1276485869.60324,1276485869.60324,116,0.0603448275862069,0.939655172413793,141831763.289248,12.8888888888889,1,18.7701521546579,20.9673767257269,8.30912109849476,1.11111111111111,NA,"Electoral democracy"
"Netherlands",9,3,8.90111111111111,82.8333333333333,0.0816959335555556,0.278662548888889,65641.5144444444,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,11.091963616913,0,"Democratic","Liberal democracy"
"New Caledonia",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"New Zealand",9,3,9.27111111111111,89.8333333333333,NA,NA,46062.303,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.7377501721247,0,"Democratic","Liberal democracy"
"Nicaragua",9,1,4.33111111111111,26.6666666666667,3.9410286,0.46156293,6854.61442222222,"Electoral autocracy","Authoritarian",3,38246522.720357,38246522.720357,4,0.5,1,4249613.63559522,0.444444444444444,1,15.2623388628119,17.4595632309788,8.83267734274447,2,"Authoritarian","Electoral autocracy"
"Niger",9,2,3.69222222222222,34.1666666666667,51.6948206666667,0.347995213333333,1529.55801111111,"Electoral democracy","Democratic",9,1635639914.30735,1635639914.30735,56,0.107142857142857,0.892857142857143,181737768.256372,6.22222222222222,1,19.0180753777882,21.2152999502334,7.33273409102542,1,"Democratic","Electoral democracy"
"Nigeria",9,1.88888888888889,4.20666666666667,26.6666666666667,31.5599635,0.3550376,5699.63957777778,NA,NA,9,10912558238.2977,11344447673.5074,120,0.3,0.708333333333333,1212506470.92197,13.3333333333333,1,20.9159555184293,23.1131800950324,8.64815821985461,1.11111111111111,NA,"Electoral democracy"
"Niue",9,NA,NA,NA,NA,NA,NA,NA,NA,4,15993203.8512682,15993203.8512682,5,0,1,1777022.65014091,0.555555555555556,1,14.3904504160752,16.5876744931991,NA,NA,NA,NA
"North America (WB)",9,NA,NA,NA,NA,NA,65285.4547777778,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,11.0865245458557,NA,NA,NA
"North Korea",9,0,1.08,11.1666666666667,NA,NA,NA,"Closed autocracy","Authoritarian",8,2801708137.22351,2801708137.22351,31,0,0.903225806451613,311300904.135946,3.44444444444444,1,19.5562705430078,21.7534951174886,NA,3,"Authoritarian","Closed autocracy"
"North Macedonia",9,1.55555555555556,5.88777777777778,40,4.29107427142857,0.346043637142857,20324.3684444444,NA,NA,8,1140214693.51798,1140214693.51798,39,0.102564102564103,0.846153846153846,126690521.501998,4.33333333333333,1,18.6572578398258,20.8544824101458,9.91957586108918,1.44444444444444,NA,"Electoral democracy"
"Northern Mariana Islands",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"Norway",9,3,9.87666666666667,85.6666666666667,0.199532448571429,0.273417797142857,86615.9151111111,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,11.3692388549301,0,"Democratic","Liberal democracy"
"Oman",9,0,3.07,46.3333333333333,NA,NA,39122.9347777778,"Closed autocracy","Authoritarian",7,6644853339.51303,6644853339.37554,23,0.565217391304348,0.478260869565217,738317037.72367,2.55555555555556,1,20.4198838820831,22.6171084582154,10.5744641412167,3,"Authoritarian","Closed autocracy"
"Pakistan",9,1,4.36777777777778,30.6666666666667,5.80175966666667,0.301363686666667,4949.34947777778,"Electoral autocracy","Authoritarian",9,55820108063.1667,88374347494.7284,285,0.407017543859649,0.670175438596491,6202234229.24074,31.6666666666667,1,22.5481754237997,24.7454000009926,8.5070114282958,2,"Authoritarian","Electoral autocracy"
"Palau",9,NA,NA,NA,NA,NA,18655.6064444444,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,9.83390199353987,NA,NA,NA
"Palestine",9,NA,4.34333333333333,NA,0.5027174,0.3369004,6088.42675555556,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,8.71414499490928,NA,NA,NA
"Panama",9,2,7.07666666666667,37.1666666666667,1.723043225,0.503658425,30378.3415555556,"Electoral democracy","Democratic",9,547131377.054448,547131377.054448,62,0.129032258064516,0.870967741935484,60792375.228272,6.88888888888889,1,17.9229749480919,20.1201995108064,10.3214851846516,1,"Democratic","Electoral democracy"
"Papua New Guinea",9,1,6.08222222222222,26.6666666666667,NA,NA,4103.7431,"Electoral autocracy","Authoritarian",9,1798759482.5832,1798759482.5832,80,0.15,0.9,199862164.731467,8.88888888888889,1,19.1131385155819,21.3103630884706,8.31965478742542,2,"Authoritarian","Electoral autocracy"
"Paraguay",9,2,6.21666666666667,27.1666666666667,1.40990994555556,0.467426471111111,14867.4216111111,"Electoral democracy","Democratic",2,76217461.2662679,76217461.2662679,4,1,1,8468606.8073631,0.444444444444444,1,15.9518766856288,18.1491011580022,9.60692762906718,1,"Democratic","Electoral democracy"
"Peru",9,2,6.51333333333333,36.5,4.35242865555556,0.427849727777778,14732.1128888889,"Electoral democracy","Democratic",9,13865421167.9345,13865421167.9345,97,0.34020618556701,0.639175257731959,1540602351.99272,10.7777777777778,1,21.1554393152043,23.3526638919635,9.59778494037085,1,"Democratic","Electoral democracy"
"Philippines",9,1.55555555555556,6.68888888888889,35.6666666666667,6.70069733333333,0.38477223,8282.90884444444,NA,NA,9,5329914666.21571,5329914666.21571,170,0.158823529411765,0.788235294117647,592212740.690635,18.8888888888889,1,20.1993764892575,22.3966010650928,9.02194949540001,1.44444444444444,NA,"Electoral democracy"
"Poland",9,2.33333333333333,6.90222222222222,61,0.266185193333333,0.305004768888889,35207.6377777778,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.4690183203722,0.666666666666667,NA,"Electoral democracy"
"Portugal",9,3,7.83555555555556,63,0.422906111111111,0.34642544,37413.8882222222,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.5297972573121,0,"Democratic","Liberal democracy"
"Puerto Rico",9,NA,NA,NA,NA,NA,42017.7548888889,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.6458475433878,NA,NA,NA
"Qatar",9,0,3.24222222222222,65.6666666666667,0,0.35128385,118958.182,"Closed autocracy","Authoritarian",0,0,0,0,NA,NA,0,0,0,0,0,11.6865272985694,3,"Authoritarian","Closed autocracy"
"Romania",9,2,6.51777777777778,45.8333333333333,3.71217674444444,0.353598584444444,32761.8325555556,"Electoral democracy","Democratic",9,509246445.73749,509246445.73749,22,0.272727272727273,0.545454545454545,56582938.4152767,2.44444444444444,1,17.8512180739778,20.0484426356045,10.3970194752168,1,"Democratic","Electoral democracy"
"Russia",9,1,3.25555555555556,28.3333333333333,0.024093905,0.37980233125,36647.3807777778,"Electoral autocracy","Authoritarian",9,98583779737.8617,98886365613.2249,174,0.781609195402299,0.17816091954023,10953753304.2069,19.3333333333333,1,23.1169480020763,25.3141725793314,10.5090972389432,2,"Authoritarian","Electoral autocracy"
"Rwanda",9,1,3.18555555555556,53.5,52.876292,0.444104745,2382.4127,"Electoral autocracy","Authoritarian",9,724061218.079621,724061218.079621,73,0.0684931506849315,0.986301369863014,80451246.4532912,8.11111111111111,1,18.2031619372276,20.4003865035151,7.77586899267444,2,"Authoritarian","Electoral autocracy"
"Saint Kitts and Nevis",9,NA,NA,NA,NA,NA,28819.9305555556,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.2688224599585,NA,NA,NA
"Saint Lucia",9,NA,NA,62.4,5.222044,0.5122298,21056.3191111111,NA,NA,4,0,0,4,0,1,0,0.444444444444444,1,0,0,9.95495598936312,NA,NA,NA
"Saint Vincent and the Grenadines",9,NA,NA,60,NA,NA,15117.9931111111,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,9.6236409101774,NA,NA,NA
"Samoa",9,NA,NA,NA,1.1502274,0.38743454,6616.31096666667,NA,NA,9,129161936.920974,129161936.920974,99,0.0101010101010101,0.909090909090909,14351326.3245527,11,1,16.4793529923769,18.6765775077753,8.79729323781581,NA,NA,NA
"San Marino",9,NA,NA,NA,NA,NA,59684.6551111111,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.9968302330272,NA,NA,NA
"Sao Tome and Principe",9,2,NA,44,15.723551,0.4072948,5474.17465555556,"Electoral democracy","Democratic",5,130703696.294862,130703696.294862,63,0,0.936507936507937,14522632.9216514,7,1,16.4912189504728,18.6884434666019,8.60779679547737,1,"Democratic","Electoral democracy"
"Saudi Arabia",9,0,1.93888888888889,48.5,NA,NA,53660.5942222222,"Closed autocracy","Authoritarian",0,0,0,0,NA,NA,0,0,0,0,0,10.8904341977577,3,"Authoritarian","Closed autocracy"
"Senegal",9,2,5.98888888888889,43.8333333333333,9.574694,0.37236252,3811.70632222222,"Electoral democracy","Democratic",9,3205648534.34407,3205648534.34407,75,0.253333333333333,0.866666666666667,356183170.482675,8.33333333333333,1,19.6909556831296,21.8881802579702,8.24583222146589,1,"Democratic","Electoral democracy"
"Serbia",9,1.11111111111111,6.49666666666667,40.8333333333333,4.35798436666667,0.36976122,20172.6612222222,NA,NA,9,4973837717.43742,4973837717.43742,53,0.320754716981132,0.39622641509434,552648635.270824,5.88888888888889,1,20.1302329801,22.3274575558278,9.9120835618693,1.88888888888889,NA,"Electoral autocracy"
"Seychelles",9,2.55555555555556,NA,58,0.873531615,0.39473691,29545.1784444444,NA,NA,9,47605242.9975653,47605242.9975653,74,0,0.918918918918919,5289471.44417393,8.22222222222222,1,15.4812290718622,17.6784534811497,10.2936758435126,0.444444444444445,NA,"Liberal democracy"
"Sierra Leone",9,2,4.70111111111111,30,26.062035,0.35690176,2876.48626666667,"Electoral democracy","Democratic",9,3379218930.5501,3379218930.5501,139,0.0503597122302158,0.906474820143885,375468770.061123,15.4444444444444,1,19.743685859428,21.9409104343968,7.96432478197131,1,"Democratic","Electoral democracy"
"Singapore",9,1,6.16111111111111,84.6666666666667,NA,NA,114648.726111111,"Electoral autocracy","Authoritarian",0,0,0,0,NA,NA,0,0,0,0,0,11.6496281771132,2,"Authoritarian","Electoral autocracy"
"Sint Maarten (Dutch part)",9,NA,NA,NA,NA,NA,46827.3593333333,NA,NA,1,121312.399480383,121312.399480383,1,0,1,13479.1554978203,0.111111111111111,1,9.50897391984638,11.7061325544568,10.7542229122327,NA,NA,NA
"Slovakia",9,2.66666666666667,7.19,49.8333333333333,0.425126504444444,0.250672315555556,34940.8283333333,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.4614112907148,0.333333333333333,NA,"Liberal democracy"
"Slovenia",9,2.88888888888889,7.56777777777778,59.5,0.002956646,0.24846195,41502.1393333333,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,10.6335002550909,0.111111111111111,NA,"Liberal democracy"
"Solomon Islands",9,2,NA,41.6666666666667,NA,NA,2662.7675,"Electoral democracy","Democratic",3,162027285.246963,162027285.246963,38,0,0.921052631578947,18003031.694107,4.22222222222222,1,16.7060507846747,18.9032753126365,7.88712127445453,1,"Democratic","Electoral democracy"
"Somalia",9,0,NA,8.83333333333333,NA,NA,1388.26585555556,"Closed autocracy","Authoritarian",8,46636644.9472521,46636644.9472521,42,0,1,5181849.43858357,4.66666666666667,1,15.4606727779709,17.6578971837682,7.23581066131027,3,"Authoritarian","Closed autocracy"
"South Africa",9,2,7.39,43.5,20.492558,0.630258,14327.774,"Electoral democracy","Democratic",9,17062832312.8828,17062832312.8828,249,0.526104417670683,0.449799196787149,1895870256.98698,27.6666666666667,1,21.3629438091061,23.5601683859734,9.56995517030515,1,"Democratic","Electoral democracy"
"South Asia (WB)",9,NA,NA,NA,NA,NA,6678.6733,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,8.80667463902112,NA,NA,NA
"South Korea",9,3,8.02,54.6666666666667,0.13886104,0.334008754285714,44607.8304444444,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.7056646931007,0,"Democratic","Liberal democracy"
"South Sudan",9,0,NA,13.3333333333333,67.32727,0.44057786,NA,"Closed autocracy","Authoritarian",9,5640093553.97407,5640093553.93552,142,0.0633802816901408,0.936619718309859,626677061.552675,15.7777777777778,1,20.2559419141624,22.4531664900802,NA,3,"Authoritarian","Closed autocracy"
"Spain",9,3,8.13111111111111,58.3333333333333,0.857044831111111,0.351767222222222,43551.776,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,10.681705762161,0,"Democratic","Liberal democracy"
"Sri Lanka",9,1.77777777777778,6.16666666666667,37.3333333333333,1.12696508,0.38504775,13834.8598888889,NA,NA,9,12674787384.9632,12674728828.9543,171,0.210526315789474,0.865497076023392,1408309709.44035,19,1,21.0656560352949,23.262880612,9.53494676487584,1.22222222222222,NA,"Electoral democracy"
"St. Kitts and Nevis",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"St. Martin (French part)",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"St. Vincent and the Grenadines",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA
"Sub-Saharan Africa (WB)",9,NA,NA,NA,NA,NA,4311.48467777778,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,8.36903759658293,NA,NA,NA
"Sudan",9,0.777777777777778,2.42555555555556,13.3333333333333,15.26306,0.3424273,3869.46318888889,NA,NA,9,531194738.183478,531194738.183478,84,0.0714285714285714,0.904761904761905,59021637.575942,9.33333333333333,1,17.8934146901561,20.0906392524319,8.26087106552116,2.22222222222222,NA,"Electoral autocracy"
"Suriname",9,2,6.82666666666667,39.5,NA,NA,22204.633,"Electoral democracy","Democratic",9,1122113466.81274,2105141380.993,71,0.28169014084507,0.732394366197183,124679274.090304,7.88888888888889,1,18.6412551986847,20.8384797688915,10.0080562397806,1,"Democratic","Electoral democracy"
"Sweden",9,3,9.44333333333333,87,0.47384026,0.291854178888889,59902.726,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,11.00047729225,0,"Democratic","Liberal democracy"
"Switzerland",9,3,9.02,85.5,0.0281076785,0.329863625,78490.82,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,11.270736954257,0,"Democratic","Liberal democracy"
"Syria",9,0,1.51222222222222,15.8333333333333,NA,NA,5015.80736666667,"Closed autocracy","Authoritarian",9,73629376.2164701,73629376.2164701,44,0,1,8181041.80183001,4.88888888888889,1,15.9173301823401,18.1145546510241,8.52034967780073,3,"Authoritarian","Closed autocracy"
"Taiwan",9,3,7.99555555555556,61.8333333333333,0,0.316162437142857,NA,"Liberal democracy","Democratic",0,0,0,0,NA,NA,0,0,0,0,0,NA,0,"Democratic","Liberal democracy"
"Tajikistan",9,1,2.04333333333333,23.6666666666667,6.114529,0.3399559,3348.42616666667,"Electoral autocracy","Authoritarian",9,3681038020.04171,3681038020.04171,99,0.343434343434343,0.707070707070707,409004224.449078,11,1,19.829236045125,22.026460620288,8.11624571343302,2,"Authoritarian","Electoral autocracy"
"Tanzania",9,1,5.45777777777778,33,44.94932,0.4049123,3268.63624444444,"Electoral autocracy","Authoritarian",9,1505142199.67488,1505142199.66994,144,0.0833333333333333,0.9375,167238022.186098,16,1,18.9349286441609,21.132153216182,8.09212812627289,2,"Authoritarian","Electoral autocracy"
"Thailand",9,0.111111111111111,5.47888888888889,36.5,0.0509667822222222,0.36146458,19688.7757777778,NA,NA,9,1889254718.5189,1978102919.36805,58,0.241379310344828,0.741379310344828,209917190.946544,6.44444444444444,1,19.1622236868515,21.3594482599532,9.8878039948794,2.88888888888889,NA,"Closed autocracy"
"Timor-Leste",9,NA,NA,NA,NA,NA,NA,NA,NA,9,17098708.9544775,17098708.9544775,76,0,0.973684210526316,1899856.5504975,8.44444444444444,1,14.4572894679037,16.6545135773684,NA,NA,NA,NA
"Togo",9,1,3.18666666666667,30.6666666666667,36.5729283333333,0.411384453333333,2390.50186666667,"Electoral autocracy","Authoritarian",9,542088760.571909,542088760.571909,71,0.126760563380282,0.971830985915493,60232084.5079899,7.88888888888889,1,17.913715750155,20.1109403127335,7.77925860893457,2,"Authoritarian","Electoral autocracy"
"Tonga",9,NA,NA,NA,0.905116745,0.303085345,6616.25753333333,NA,NA,9,89524018.4399861,89524018.4399861,78,0,0.948717948717949,9947113.15999846,8.66666666666667,1,16.1127930328957,18.3100175208705,8.79728516178229,NA,NA,NA
"Trinidad and Tobago",9,2.88888888888889,7.09555555555556,38.6666666666667,NA,NA,35540.3838888889,NA,NA,8,422013844.848617,422013844.848617,33,0.0909090909090909,0.878787878787879,46890427.2054019,3.66666666666667,1,17.6633241231504,19.8605486815299,10.478424903251,0.111111111111111,NA,"Liberal democracy"
"Tunisia",9,2,6.35777777777778,40.8333333333333,0.206897595,0.33266154,12683.171,"Electoral democracy","Democratic",8,293765970.793138,293765970.793138,29,0.103448275862069,0.96551724137931,32640663.4214598,3.22222222222222,1,17.3010694439026,19.4982939940063,9.44803127559106,1,"Democratic","Electoral democracy"
