"variable","n","mean","sd","min","median","max"
"china_aid_usd2021",234,373050589.106508,1091894836.58956,0,14171182.1993431,10953753304.2069
"china_aid_usd2021_total",234,3357455301.95857,9827053529.30605,0,127540639.794088,98583779737.8617
"log_china_aid",234,11.0692437231853,9.22601607463793,0,16.4666403044467,23.1169480020763
"log_china_aid_total",234,12.3932094777518,10.2808583374357,0,18.6638648190476,25.3141725793314
"china_project_count",234,5.30959164292498,6.5179864624744,0,3.33333333333333,33.4444444444444
"autocracy_score",174,1.37236590038314,0.935945088527333,0,1.27777777777778,3
"political_regime",174,1.62763409961686,0.935945088527333,0,1.72222222222222,3
"log_gdp_pc",212,9.59026383092279,1.13451194618952,6.79496288930959,9.67244351112403,11.8006660107124
"cpi",179,43.0996275605214,19.3616709985351,8.83333333333333,38.6666666666667,90
"extreme_poverty",148,10.9744417642823,17.4251674354098,0,1.652021,78.94202
"gini",147,0.373458492874852,0.0743938816482059,0.24846195,0.36146458,0.630258
