"regime_family","observations","mean_aid_usd2021","median_aid_usd2021","mean_project_count","mean_autocracy_score","mean_log_gdp_pc","mean_cpi","mean_extreme_poverty","mean_gini"
"Authoritarian",56,941206025.443607,237644445.362705,8.65674603174603,2.30357142857143,9.14604806543489,33.0223214285714,23.5186142848812,0.401263897832766
"Democratic",64,304116499.366667,2357195.91243337,4.48090277777778,0.5625,9.97941305573768,53.65625,5.20865530310157,0.367720452046456
