"model","statistic","df","p_value"
"CS_M1_bivariate",0.994273516314578,1,0.318700128093471
"CS_M2_controls",5.78367876657589,5,0.327840230150812
"CS_M2_controls_positive_aid",11.0460322403648,5,0.0504748999685814
