"sample","coefficient","std_error","p_value","r_squared"
"Panel bivariate",3.38591823542502,0.237206633457965,0.000000000000000000000000000000000000000000153059321350921,0.128189274697761
"Panel controls",3.30566922042382,0.68502774373761,0.00000188291226519273,0.459776175076711
"Panel country + year FE",1.83981375606376,2.04855456433296,0.36976412066153,0.86564242572716
"Country bivariate",4.18590611778708,0.76865281438016,0.000000175857609991821,0.201733414269936
"Country controls",0.948190623190979,1.17114273461,0.419644576415448,0.593729399467295
"Country controls, positive-aid only",1.08349482889997,0.396800634533095,0.00766883870997115,0.165496353886062
