"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"(Intercept)",15.345903067256,0.092944487497155,165.108264949288,0,15.1635708967868,15.5282352377253,"M1_bivariate"
"strategic_family",3.57624192117094,0.142151306907793,25.1579953710216,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000949661506743606,3.29737916102788,3.855104681314,"M1_bivariate"
"(Intercept)",13.0523079480098,3.00749357193034,4.33992879314194,0.0000200923323394873,7.13148055636231,18.9731353396573,"M2_controls"
"strategic_family",3.40767766093512,0.31094687179026,10.9590350316618,0.000000000000000000000021080921653263,2.79551916024008,4.01983616163017,"M2_controls"
"log_gdp_pc",0.362770884248305,0.332319198490297,1.09163384449754,0.275956535497262,-0.291463136916631,1.01700490541324,"M2_controls"
"cpi",-0.0352203575270245,0.0157917089954948,-2.23030689946683,0.0265400206684737,-0.0663093626887011,-0.00413135236534785,"M2_controls"
"extreme_poverty",-0.00419503870727395,0.0188358399367251,-0.222715775955108,0.823923260954225,-0.0412769989425102,0.0328869215279623,"M2_controls"
"gini",2.02164971351303,2.3506128267384,0.860052191716397,0.390514908304056,-2.60598205987018,6.64928148689624,"M2_controls"
"(Intercept)",94.2730333748837,52.2373941553939,1.80470398455259,0.0727044809760237,-8.76669875094167,197.312765500709,"M3_country_year_FE"
"strategic_family",3.36353315181349,0.299810991525512,11.218845362203,0.0000000000000000000000972117407471501,2.77214752175566,3.95491878187132,"M3_country_year_FE"
"log_gdp_pc",-7.95836303185877,5.29225455947119,-1.50377555395861,0.134299554433529,-18.3974842967407,2.48075823302312,"M3_country_year_FE"
"cpi",-0.0260656643296339,0.0717921837651026,-0.36307106097954,0.716955402349711,-0.167677770053716,0.115546441394448,"M3_country_year_FE"
"extreme_poverty",-0.0231349174758309,0.0752379438083219,-0.30749002836614,0.758807196750606,-0.171543881993577,0.125274047041915,"M3_country_year_FE"
"gini",-9.62772822818661,16.4677596860178,-0.584641044790152,0.559482685138916,-42.110848303282,22.8553918469087,"M3_country_year_FE"
"factor(entity)Angola",1.31927354498579,4.51976231040068,0.29189002747997,0.770689163275721,-7.59608498822694,10.2346320781985,"M3_country_year_FE"
"factor(entity)Armenia",1.55206663440016,2.04758839013421,0.757997379687442,0.449391685019754,-2.48685917027828,5.5909924390786,"M3_country_year_FE"
"factor(entity)Bangladesh",-3.22283865740237,5.38029008941254,-0.599008344130803,0.549880850843441,-13.835612486111,7.38993517130624,"M3_country_year_FE"
