"entity","year","strategic_present","social_present","strategic_aid_usd2021","social_aid_usd2021","coverage","strategic_share_of_two_family_aid","strategic_to_social_ratio","log_ratio_strategic_to_social"
"Malawi",2018,TRUE,TRUE,24717432.4074821,1121529.80493625,"Both families funded",0.956595400553772,22.0390330231903,3.09281510960129
"Malaysia",2015,TRUE,TRUE,2221471252.18812,56113778.4789476,"Both families funded",0.975362597785202,39.5886948340424,3.6785435935133
"Malaysia",2017,TRUE,TRUE,1930384216.40676,164071.774026907,"Both families funded",0.999915012861874,11765.4863419115,9.3729256383361
"Malaysia",2018,TRUE,TRUE,6496242877.38136,27203537.4000792,"Both families funded",0.995829882600332,238.80140225302,5.47563225358253
"Malaysia",2019,TRUE,TRUE,1396446954.23194,207082.678495519,"Both families funded",0.999851729438341,6743.42713923395,8.81632355230656
"Maldives",2014,TRUE,TRUE,30545476.5218624,395377.83678791,"Both families funded",0.987221495818929,77.2564207696036,4.34713002908247
"Maldives",2015,TRUE,TRUE,419549815.518041,1698265.40593577,"Both families funded",0.995968491055886,247.046082462513,5.50957488790035
"Maldives",2016,TRUE,TRUE,298726546.42914,642495.088716589,"Both families funded",0.997853835902807,464.947595203971,6.14192470075032
"Maldives",2017,TRUE,TRUE,35666753.4897003,608607302.961323,"Both families funded",0.0553595991217934,0.0586038868021387,-2.8369542569172
"Maldives",2018,TRUE,TRUE,167196731.384801,22562368.5292567,"Both families funded",0.881099939136119,7.41042462665196,2.00288774220758
"Maldives",2021,TRUE,TRUE,1302083.33333333,3975875,"Both families funded",0.246702086507566,0.327496043847789,-1.11627930383387
"Mali",2013,TRUE,TRUE,407414077.886035,606207.743893683,"Both families funded",0.998514270576136,672.070065072424,6.51036259858872
"Mali",2014,TRUE,TRUE,111097917.501226,1074818.94101655,"Both families funded",0.990418180253898,103.364309337674,4.63825973167364
"Mali",2017,TRUE,TRUE,62754.5398973225,51158592.3075998,"Both families funded",0.00122516379907314,0.00122666666666667,-6.7034548154694
"Mauritania",2013,TRUE,TRUE,209210784.530281,18345975.642216,"Both families funded",0.919378463516931,11.403633614822,2.43393204275652
"Mauritania",2016,TRUE,TRUE,3014563.20892194,584621.161630539,"Both families funded",0.837568431777559,5.15643874490305,1.64024617550301
"Mauritania",2018,TRUE,TRUE,49434864.8149642,322974.450124432,"Both families funded",0.993509074049543,153.061224489796,5.03083800141378
"Mauritius",2016,TRUE,TRUE,125092.847533228,47807439.9164377,"Both families funded",0.00260976919682525,0.00261659791346027,-5.94588031131185
"Mauritius",2017,TRUE,TRUE,4166966.03734929,33335.7282987943,"Both families funded",0.992063492063492,125,4.8283137373023
"Mauritius",2018,TRUE,TRUE,8965.41697486793,80855444.0398886,"Both families funded",0.0001108697514158,0.000110882044880553,-9.10704358040781
"Mauritius",2019,TRUE,TRUE,16362001.540516,216713.257303165,"Both families funded",0.986928223330576,75.500694992678,4.32414186141364
"Mexico",2017,TRUE,TRUE,11235297.0309544,43327914.7039886,"Both families funded",0.205913410770854,0.259308510638296,-1.3497367653861
