"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","model"
0.320318239419846,0.319812147267515,2.57910485870656,632.924731088353,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000949661506741308,1,-3181.78159040512,6369.56318081024,6385.17562868635,8933.34305436967,1343,1345,"M1_bivariate"
0.337366613241998,0.325230470627382,2.5535555601368,27.798504348137,0.0000000000000000000000977758019845464,5,-654.409918985152,1322.8198379703,1348.23832044305,1780.13635764661,273,279,"M2_controls"
0.663037420610032,0.506970541734678,2.18275008938079,4.24841853305455,0.000000000000000040001425757153,88,-560.073045059849,1300.1460901197,1626.95515048362,905.235611011448,190,279,"M3_country_year_FE"
0.67074842520781,0.340646071152592,2.4296908403901,2.031940751006,0.00000000000256932500849002,388,-1520.05878674262,3820.11757348524,5635.2370563567,2284.61486341184,387,776,"M4_country_year_pair_FE"
