"entity","year","sector_family","project_count","funded_project_count","family_aid_usd2021","family_aid_usd2021_unadjusted","loan_share","development_intent_share","cpi","extreme_poverty","gini","gdp_pc","log_gdp_pc","log_family_aid","strategic_family","entity_year"
"Montenegro",2018,"Social",3,2,681524.983895408,681524.983895408,0,1,45,2.839833,0.36809078,24481.744,10.1056829759187,13.432089656898,0,"Montenegro__2018"
"Montenegro",2018,"Strategic",2,1,44684892.8120102,44684892.8120102,0.5,1,45,2.839833,0.36809078,24481.744,10.1056829759187,17.6151460564271,1,"Montenegro__2018"
"Montenegro",2021,"Social",2,1,540000,540000,0,1,NA,1.9771242,0.34297183,24509.936,10.1068338653396,13.1993262703906,0,"Montenegro__2021"
"Morocco",2014,"Social",1,1,7098324.42471018,7098324.42471018,0,1,39,NA,NA,7951.7983,8.98115338332659,15.7753694585186,0,"Morocco__2014"
"Morocco",2014,"Strategic",1,1,331995717.994777,331995717.994777,1,0,39,NA,NA,7951.7983,8.98115338332659,19.6206326322036,1,"Morocco__2014"
"Morocco",2015,"Strategic",3,3,11121352.1087135,11121352.1087135,0,1,36,NA,NA,8198.809,9.01174417880099,16.2243775218223,1,"Morocco__2015"
"Morocco",2016,"Strategic",1,1,196722031.09252,196722031.09252,1,0,37,NA,NA,8141.9404,9.00478380896735,19.0973022856914,1,"Morocco__2016"
"Morocco",2018,"Social",3,2,57359363.5887628,57359363.5887628,0.333333333333333,1,43,NA,NA,8611.75,9.0608828288014,17.8648466765925,0,"Morocco__2018"
"Morocco",2018,"Strategic",3,3,261349746.489803,261349746.489803,0.666666666666667,0.666666666666667,43,NA,NA,8611.75,9.0608828288014,19.3813700969464,1,"Morocco__2018"
"Morocco",2020,"Social",6,4,2062070.50004254,2062070.50004254,0,1,NA,NA,NA,8054.563,8.993994042122,14.5392216180513,0,"Morocco__2020"
"Morocco",2021,"Social",3,2,9022271.71492205,9022271.71492205,0,1,NA,NA,NA,8623.266,9.06221917820935,16.0152068242615,0,"Morocco__2021"
"Mozambique",2013,"Social",3,3,108800424.956818,108800424.956818,0.333333333333333,1,30,NA,NA,1385.8325,7.23405632107588,18.5050258074227,0,"Mozambique__2013"
"Mozambique",2013,"Strategic",2,1,120349600.212937,120349600.212937,1,0.5,30,NA,NA,1385.8325,7.23405632107588,18.6059114086269,1,"Mozambique__2013"
"Mozambique",2014,"Strategic",2,2,372808441.340713,372808441.340713,1,0.5,31,64.64086,0.53956276,1449.9293,7.27927007560519,19.736575286283,1,"Mozambique__2014"
"Mozambique",2015,"Social",1,1,6376161.24765256,6376161.24765256,0,1,31,NA,NA,1512.5997,7.32158510508792,15.668076945749,0,"Mozambique__2015"
"Mozambique",2016,"Social",2,1,5785942.09095649,5785942.09095649,0,1,27,NA,NA,1537.9086,7.33817872047134,15.5709419288246,0,"Mozambique__2016"
"Mozambique",2017,"Social",7,5,91275072.9956117,91275072.9956117,0.142857142857143,0.714285714285714,25,NA,NA,1532.0073,7.33433411530224,18.3293882961944,0,"Mozambique__2017"
"Mozambique",2017,"Strategic",7,6,2099732106.26715,2099732106.26715,0.571428571428571,0.285714285714286,25,NA,NA,1532.0073,7.33433411530224,21.4650756055703,1,"Mozambique__2017"
"Mozambique",2018,"Social",2,2,15039926.5207257,15039926.5207257,0,0.5,23,NA,NA,1538.8351,7.3387809805998,16.5262190573737,0,"Mozambique__2018"
"Mozambique",2020,"Social",11,6,146929.624145983,146929.624145983,0,1,NA,NA,NA,1466.1248,7.29037800842764,11.8977158097748,0,"Mozambique__2020"
"Mozambique",2020,"Strategic",1,1,175901827.876015,175901827.876015,1,1,NA,NA,NA,1466.1248,7.29037800842764,18.9854366069023,1,"Mozambique__2020"
"Mozambique",2021,"Social",6,5,27980000,27980000,0,1,NA,NA,NA,1457.2354,7.28429635800431,17.1470005629414,0,"Mozambique__2021"
"Myanmar",2013,"Social",5,2,50761.6448485425,50761.6448485425,0,0.6,21,NA,NA,4666.9536,8.4482618037534,10.8349160254461,0,"Myanmar__2013"
"Myanmar",2013,"Strategic",5,4,237085082.356498,237085082.356498,1,0.4,21,NA,NA,4666.9536,8.4482618037534,19.283929636178,1,"Myanmar__2013"
"Myanmar",2014,"Social",10,6,44836072.2099993,44836072.2099993,0,1,21,NA,NA,5006.507,8.51849374532924,17.6185235789615,0,"Myanmar__2014"
"Myanmar",2014,"Strategic",1,1,110709523.140848,110709523.140848,1,0,21,NA,NA,5006.507,8.51849374532924,18.5224204295774,1,"Myanmar__2014"
"Myanmar",2015,"Social",5,2,47695310.9733079,47695310.9733079,0.2,0.6,22,6.2170024,0.3806851,5313.886,8.57807867332337,17.6803436695466,0,"Myanmar__2015"
"Myanmar",2015,"Strategic",2,1,5712833.35532466,5712833.35532466,0,1,22,6.2170024,0.3806851,5313.886,8.57807867332337,15.5582258429443,1,"Myanmar__2015"
"Myanmar",2016,"Social",15,7,29274396.3129501,29274396.3129501,0,0.866666666666667,28,NA,NA,5580.9897,8.62712140523934,17.1922238801465,0,"Myanmar__2016"
"Myanmar",2016,"Strategic",1,1,102440695.122638,102440695.122638,1,0,28,NA,NA,5580.9897,8.62712140523934,18.4447946146907,1,"Myanmar__2016"
"Myanmar",2017,"Social",25,11,9570790.37773177,9570790.37773177,0,0.84,30,1.9911567,0.3069687,5877.8745,8.67895049595134,16.0742264536081,0,"Myanmar__2017"
"Myanmar",2017,"Strategic",3,2,314588316.866726,314588316.866726,1,0,30,1.9911567,0.3069687,5877.8745,8.67895049595134,19.5667754146082,1,"Myanmar__2017"
"Myanmar",2018,"Social",30,9,34593844.5693229,34593844.5693229,0.0666666666666667,0.7,29,NA,NA,6201.263,8.7325082599646,17.3591863504876,0,"Myanmar__2018"
"Myanmar",2018,"Strategic",4,3,23135969.4319041,23135969.4319041,0.25,1,29,NA,NA,6201.263,8.7325082599646,16.9568991259274,1,"Myanmar__2018"
"Myanmar",2019,"Social",27,9,1457771.97194082,1457771.97194082,0,0.851851851851852,NA,NA,NA,6562.989,8.78920141840954,14.1924204674516,0,"Myanmar__2019"
"Myanmar",2019,"Strategic",1,1,13089601.2324128,13089601.2324128,1,1,NA,NA,NA,6562.989,8.78920141840954,16.3873287502901,1,"Myanmar__2019"
"Myanmar",2020,"Social",73,37,14471257.2430443,14471257.2430443,0,1,NA,NA,NA,5926.8345,8.68724553833404,16.4876750501171,0,"Myanmar__2020"
"Myanmar",2020,"Strategic",1,1,48023991.1026581,48023991.1026581,1,0,NA,NA,NA,5926.8345,8.68724553833404,17.6872112794681,1,"Myanmar__2020"
"Myanmar",2021,"Social",32,22,165769570.36169,165769570.36169,0,1,NA,NA,NA,5178.4473,8.55226054128506,18.9261092576566,0,"Myanmar__2021"
"Myanmar",2021,"Strategic",1,1,126000000,126000000,1,0,NA,NA,NA,5178.4473,8.55226054128506,18.6517924728523,1,"Myanmar__2021"
"Namibia",2013,"Social",4,3,33122.2291184889,33122.2291184889,0,1,48,NA,NA,11593.575,9.3582063443363,10.4079901012855,0,"Namibia__2013"
"Namibia",2013,"Strategic",3,2,117761887.638511,117761887.638511,0.333333333333333,0.666666666666667,48,NA,NA,11593.575,9.3582063443363,18.5841752508471,1,"Namibia__2013"
"Namibia",2014,"Social",2,1,215350.20088126,215350.20088126,0,1,49,NA,NA,11982.696,9.39121888808757,12.2800254668831,0,"Namibia__2014"
"Namibia",2014,"Strategic",1,1,154993332.397188,154993332.397188,1,0,49,NA,NA,11982.696,9.39121888808757,18.8588926636178,1,"Namibia__2014"
"Namibia",2016,"Social",6,3,16402225.8336861,16402225.8336861,0,1,52,NA,NA,11846.788,9.37981205496895,16.6129276661186,0,"Namibia__2016"
"Namibia",2017,"Social",3,1,28569.4928404992,28569.4928404992,0,1,51,NA,NA,11408.726,9.34213378018036,10.260129745356,0,"Namibia__2017"
"Namibia",2017,"Strategic",1,1,34105728.2050665,34105728.2050665,0,1,51,NA,NA,11408.726,9.34213378018036,17.3449759400201,1,"Namibia__2017"
"Namibia",2018,"Social",34,13,29166431.0521564,29166431.0521564,0.0294117647058824,0.970588235294118,53,NA,NA,11214.386,9.32495269735036,17.1885290187013,0,"Namibia__2018"
"Namibia",2018,"Strategic",1,1,73657948.5742966,73657948.5742966,0,1,53,NA,NA,11214.386,9.32495269735036,18.1149426322416,1,"Namibia__2018"
"Namibia",2019,"Social",20,1,7819.87436590678,7819.87436590678,0,1,NA,NA,NA,10813.305,9.28853259933586,8.96455163878595,0,"Namibia__2019"
"Namibia",2020,"Social",14,11,851277.885436815,851277.885436815,0,1,NA,NA,NA,9652.248,9.17494612057148,13.6544950688356,0,"Namibia__2020"
"Namibia",2021,"Social",8,5,10001488.4979702,10001488.4979702,0,1,NA,NA,NA,9709.1,9.18081886903901,16.1182445896634,0,"Namibia__2021"
"Nauru",2020,"Social",1,1,16462.1774151902,16462.1774151902,0,1,NA,NA,NA,11441.259,9.34498131132601,9.70888149419144,0,"Nauru__2020"
"Nepal",2013,"Social",3,3,49350674.4775611,49350674.4775611,0,1,31,NA,NA,3426.5579,8.13931150859215,17.7144620112387,0,"Nepal__2013"
"Nepal",2013,"Strategic",2,2,73163750.8611576,73163750.8611576,0.5,1,31,NA,NA,3426.5579,8.13931150859215,18.1082106631293,1,"Nepal__2013"
"Nepal",2014,"Social",2,1,22141.9046281697,22141.9046281697,0,1,29,NA,NA,3621.7317,8.19470756060303,10.0052723913418,0,"Nepal__2014"
"Nepal",2014,"Strategic",1,1,566609.835945886,566609.835945886,0,1,29,NA,NA,3621.7317,8.19470756060303,13.2474279907031,1,"Nepal__2014"
"Nepal",2015,"Strategic",4,1,8312710.12459122,8312710.12459122,0.25,0.75,27,NA,NA,3745.2617,8.22824677334962,15.9332963620708,1,"Nepal__2015"
"Nepal",2016,"Social",5,3,17207984.1158323,17207984.1158323,0,1,29,NA,NA,3743.7446,8.22784161945871,16.660884084973,0,"Nepal__2016"
"Nepal",2016,"Strategic",5,4,251156094.178907,251156094.178907,0.4,1,29,NA,NA,3743.7446,8.22784161945871,19.3415851969437,1,"Nepal__2016"
"Nepal",2017,"Social",5,1,1534757.76922799,1534757.76922799,0,1,31,NA,NA,4071.7043,8.31181693771536,14.2438837730561,0,"Nepal__2017"
"Nepal",2017,"Strategic",1,1,170528641.025332,170528641.025332,0,1,31,NA,NA,4071.7043,8.31181693771536,18.9544138289977,1,"Nepal__2017"
"Nepal",2018,"Social",9,1,9948017.14516142,9948017.14516142,0,0.888888888888889,31,NA,NA,4371.3857,8.38283533164753,16.1128839079047,0,"Nepal__2018"
"Nepal",2018,"Strategic",5,3,229160747.256525,229160747.256525,0.2,0.8,31,NA,NA,4371.3857,8.38283533164753,19.2499342727137,1,"Nepal__2018"
"Nepal",2019,"Social",5,1,11235.6461226213,11235.6461226213,0,1,NA,NA,NA,4607.5244,8.43544598524347,9.32693569125408,0,"Nepal__2019"
"Nepal",2019,"Strategic",3,1,71834095.3633278,71834095.3633278,0.333333333333333,0.666666666666667,NA,NA,NA,4607.5244,8.43544598524347,18.0898698010109,1,"Nepal__2019"
"Nepal",2020,"Social",14,9,2543777.42713629,2543777.42713629,0,1,NA,NA,NA,4412.542,8.39220621960985,14.7491611033976,0,"Nepal__2020"
"Nepal",2021,"Social",17,10,141086663.803101,141086663.803101,0,1,NA,NA,NA,4546.2295,8.42205348708015,18.7648849035198,0,"Nepal__2021"
"Nepal",2021,"Strategic",1,1,7800000,7800000,1,0,NA,NA,NA,4546.2295,8.42205348708015,15.8696344198649,1,"Nepal__2021"
"Niger",2013,"Social",3,2,57037638.2716497,57037638.2716497,0.333333333333333,1,34,NA,NA,1423.2617,7.26070648841922,17.8592219459707,0,"Niger__2013"
"Niger",2013,"Strategic",1,1,84852927.5846847,84852927.5846847,1,1,34,NA,NA,1423.2617,7.26070648841922,18.2564300638949,1,"Niger__2013"
"Niger",2014,"Strategic",1,1,4981928.54133819,4981928.54133819,1,0,35,53.56471,0.34276575,1462.8213,7.28812224728488,15.4213278320584,1,"Niger__2014"
"Niger",2015,"Strategic",2,2,109706640.879302,109706640.879302,0.5,0.5,34,NA,NA,1471.6614,7.2941472456546,18.5133204692586,1,"Niger__2015"
"Niger",2016,"Social",3,3,10102040.4372937,10102040.4372937,0,1,35,NA,NA,1500.0085,7.31322605374091,16.1282480838918,0,"Niger__2016"
"Niger",2017,"Social",6,1,534562.311900869,534562.311900869,0,1,33,NA,NA,1520.0016,7.32646666647135,13.1892054531357,0,"Niger__2017"
"Niger",2018,"Social",6,1,82391.4413582736,82391.4413582736,0,0.833333333333333,34,50.905937,0.37259424,1574.3384,7.36159039951629,11.3192489806011,0,"Niger__2018"
"Niger",2019,"Strategic",2,1,1168507196.75262,1168507196.75262,0.5,0.5,NA,NA,NA,1612.6373,7.38562619233192,20.8789928717467,1,"Niger__2019"
"Niger",2020,"Social",5,3,1970440.41132456,1970440.41132456,0,1,NA,NA,NA,1615.6927,7.38751906010708,14.4937681422772,0,"Niger__2020"
"Niger",2021,"Social",3,2,14400000,14400000,0,1,NA,50.613815,0.32862565,1585.5992,7.36871765903473,16.4827388339907,0,"Niger__2021"
"Nigeria",2013,"Social",5,1,14167.3269690132,14167.3269690132,0,0.6,25,NA,NA,5775.866,8.66144348085757,9.55876425718997,0,"Nigeria__2013"
"Nigeria",2013,"Strategic",3,3,1675495251.6986,1675495251.6986,0.666666666666667,0.333333333333333,25,NA,NA,5775.866,8.66144348085757,21.2393746317736,1,"Nigeria__2013"
"Nigeria",2014,"Social",3,1,269518.910487021,269518.910487021,0,1,27,NA,NA,5980.192,8.69620795345267,12.5043975459604,0,"Nigeria__2014"
