"entity","year","sector_family","project_count","funded_project_count","family_aid_usd2021","family_aid_usd2021_unadjusted","loan_share","development_intent_share","cpi","extreme_poverty","gini","gdp_pc","log_gdp_pc","log_family_aid","strategic_family","entity_year"
"Afghanistan",2014,"Social",5,3,2950061.86642334,2950061.86642334,0,1,12,NA,NA,3017.9426,8.0123306199289,14.8973370387409,0,"Afghanistan__2014"
"Afghanistan",2015,"Social",4,3,14992657.9113782,14992657.9113782,0,1,11,NA,NA,2967.6921,7.99553985901373,16.5230712333602,0,"Afghanistan__2015"
"Afghanistan",2016,"Social",8,3,43304618.3133107,43304618.3133107,0,1,15,NA,NA,2958.7854,7.99253412526866,17.5837698688834,0,"Afghanistan__2016"
"Afghanistan",2017,"Social",9,3,88912157.8849741,88912157.8849741,0,0.777777777777778,15,NA,NA,2952.999,7.99057654310519,18.3031594614916,0,"Afghanistan__2017"
"Afghanistan",2018,"Social",9,1,506496.645858367,506496.645858367,0,0.777777777777778,16,NA,NA,2902.392,7.97329050357744,13.135274954799,0,"Afghanistan__2018"
"Afghanistan",2020,"Social",10,6,4861875.59472574,4861875.59472574,0,1,NA,NA,NA,2769.6858,7.92648916314487,15.3969350519494,0,"Afghanistan__2020"
"Afghanistan",2021,"Social",7,5,33400000,33400000,0,0.857142857142857,NA,NA,NA,2144.1665,7.67050617775751,17.324066487887,0,"Afghanistan__2021"
"Albania",2016,"Social",4,2,1948893.77342829,1948893.77342829,0,0.75,39,0.13930316,0.33736297,13769.547,9.53021469357808,14.4827729870005,0,"Albania__2016"
"Albania",2017,"Social",3,3,4056085.8607782,4056085.8607782,0,1,38,0.39256993,0.33055663,14306.299,9.56845520877146,15.2157292394031,0,"Albania__2017"
"Albania",2020,"Social",3,1,163058.20234856,163058.20234856,0,1,NA,0.021277364,0.2941963,14869.22,9.60704858347182,12.0018686184385,0,"Albania__2020"
"Algeria",2016,"Social",1,1,17769640.171141,17769640.171141,0,1,34,NA,NA,15511.686,9.64934895432462,16.6930020069692,0,"Algeria__2016"
"Algeria",2017,"Social",1,1,34105728.2050665,34105728.2050665,0,1,33,NA,NA,15427.664,9.64391754050657,17.3449759400201,0,"Algeria__2017"
"Algeria",2018,"Social",1,1,65433.5882894543,65433.5882894543,0,1,35,NA,NA,15343.426,9.63844238766437,11.0888062705687,0,"Algeria__2018"
"Algeria",2020,"Social",7,3,7590471.00302571,7590471.00302571,0,1,NA,NA,NA,14194.155,9.56058553913239,15.8424043349252,0,"Algeria__2020"
"Algeria",2021,"Social",3,2,61200000,61200000,0,1,NA,NA,NA,14496.865,9.58168769813603,17.9296577638224,0,"Algeria__2021"
"Angola",2013,"Social",11,5,389895973.904334,389895973.904334,0.545454545454545,1,23,NA,NA,10150.916,9.2253192267034,19.7813905304944,0,"Angola__2013"
"Angola",2013,"Strategic",5,5,4269476743.51534,4269476743.51534,1,0.6,23,NA,NA,10150.916,9.2253192267034,22.17475711441,1,"Angola__2013"
"Angola",2014,"Social",11,1,62887.7457803049,62887.7457803049,0.0909090909090909,0.909090909090909,19,NA,NA,10250.593,9.23509083655163,11.0491225042683,0,"Angola__2014"
"Angola",2014,"Strategic",2,2,2338185128.73472,2338185128.73472,1,1,19,NA,NA,10250.593,9.23509083655163,21.5726408798105,1,"Angola__2014"
"Angola",2015,"Social",3,3,503937441.529231,503937441.529231,0.666666666666667,0.333333333333333,15,NA,NA,9980.93,9.20843155133668,20.0379626963661,0,"Angola__2015"
"Angola",2015,"Strategic",4,4,2391349592.63209,2391349592.63209,1,0,15,NA,NA,9980.93,9.20843155133668,21.5951237270442,1,"Angola__2015"
"Angola",2016,"Social",34,11,907147332.241488,907147332.241488,0.794117647058823,0.235294117647059,18,NA,NA,9381.81,9.14652798713782,20.6258154350655,0,"Angola__2016"
"Angola",2016,"Strategic",47,42,15882221603.4518,15882221603.5153,0.978723404255319,0.127659574468085,18,NA,NA,9381.81,9.14652798713782,23.488466182505,1,"Angola__2016"
"Angola",2017,"Social",14,5,185906714.872194,185906714.872194,0.357142857142857,0.928571428571429,19,NA,NA,9042.117,9.10964860738596,19.0407555783016,0,"Angola__2017"
"Angola",2017,"Strategic",3,2,508526828.693356,508526828.693356,1,1,19,NA,NA,9042.117,9.10964860738596,20.0470285344865,1,"Angola__2017"
"Angola",2018,"Social",11,5,88027954.3212102,88027954.3212102,0.0909090909090909,1,19,31.122005,0.51263994,8620.215,9.06186530534205,18.2931649960994,0,"Angola__2018"
"Angola",2018,"Strategic",4,4,2073847722.38071,2073847722.38071,1,0,19,31.122005,0.51263994,8620.215,9.06186530534205,21.4526715223517,1,"Angola__2018"
"Angola",2019,"Social",8,2,151038289.771572,151038289.771572,0.125,1,NA,NA,NA,8274.543,9.02093897213412,18.8330439439016,0,"Angola__2019"
"Angola",2020,"Social",6,4,1251882.35323121,1251882.35323121,0,1,NA,NA,NA,7556.968,8.93022533052717,14.0401596579561,0,"Angola__2020"
"Angola",2020,"Strategic",1,1,55841850.1193699,55841850.1193699,1,1,NA,NA,NA,7556.968,8.93022533052717,17.8380341662874,1,"Angola__2020"
"Angola",2021,"Social",2,2,83300000,83300000,0.5,1,NA,NA,NA,7408.1265,8.91033285231413,18.2379591191419,0,"Angola__2021"
"Antigua and Barbuda",2013,"Social",1,1,6971470.7440421,6971470.7440421,0,1,NA,NA,NA,25211.924,10.1350723361909,15.7573369145418,0,"Antigua and Barbuda__2013"
"Antigua and Barbuda",2013,"Strategic",1,1,51368731.7982049,51368731.7982049,1,1,NA,NA,NA,25211.924,10.1350723361909,17.75454023401,1,"Antigua and Barbuda__2013"
"Antigua and Barbuda",2014,"Social",2,1,11070952.3140848,11070952.3140848,0,0.5,NA,NA,NA,25565.965,10.1490172537213,16.2198354178771,0,"Antigua and Barbuda__2014"
"Antigua and Barbuda",2015,"Social",3,1,1413331.50368497,1413331.50368497,0,1,NA,NA,NA,25748.625,10.1561365066079,14.1614609515245,0,"Antigua and Barbuda__2015"
"Antigua and Barbuda",2016,"Strategic",1,1,106617841.026846,106617841.026846,1,1,NA,NA,NA,26637.418,10.1900721980352,18.4847614293008,1,"Antigua and Barbuda__2016"
"Antigua and Barbuda",2017,"Social",4,1,201659.17747867,201659.17747867,0,1,NA,NA,NA,27143.041,10.2088759757486,12.2143392700354,0,"Antigua and Barbuda__2017"
"Antigua and Barbuda",2018,"Social",7,2,57156564.555415,57156564.555415,0,0.857142857142857,NA,NA,NA,28884.121,10.2710472767328,17.861304824466,0,"Antigua and Barbuda__2018"
"Antigua and Barbuda",2018,"Strategic",1,1,6539098.48727206,6539098.48727206,0,1,NA,NA,NA,28884.121,10.2710472767328,15.6933100208752,1,"Antigua and Barbuda__2018"
"Antigua and Barbuda",2019,"Social",3,3,39268803.6972384,39268803.6972384,0,1,NA,NA,NA,29636.893,10.2967752493541,17.4859409880272,0,"Antigua and Barbuda__2019"
"Antigua and Barbuda",2021,"Social",3,1,360000,360000,0,1,NA,NA,NA,25733.295,10.1555409577063,12.7938620882062,0,"Antigua and Barbuda__2021"
"Argentina",2013,"Strategic",2,2,4051117.77079396,4051117.77079396,1,0,34,NA,NA,29227.66,10.2828708001625,15.2145036406378,1,"Argentina__2013"
"Argentina",2014,"Strategic",6,6,5464317611.04366,5464317611.04366,1,0,34,NA,NA,28200.814,10.2471061217578,22.4215050856448,1,"Argentina__2014"
"Argentina",2015,"Strategic",1,1,64130032.5441622,64130032.5441622,1,0,32,NA,NA,28669.207,10.2635788989204,17.97642335419,1,"Argentina__2015"
"Argentina",2016,"Social",3,2,59069745.5306323,59069745.5306323,0,0.333333333333333,36,NA,NA,27802.105,10.2328670162366,17.8942294482742,0,"Argentina__2016"
"Argentina",2016,"Strategic",6,6,633217718.453124,633217718.453124,1,0,36,NA,NA,27802.105,10.2328670162366,20.2663248695548,1,"Argentina__2016"
"Argentina",2017,"Strategic",12,11,1579180548.26974,1579180548.26974,1,0.25,39,NA,NA,28334.904,10.251849680562,21.1801719097425,1,"Argentina__2017"
"Argentina",2018,"Social",2,1,19072370.5878768,19072370.5878768,0,0,40,NA,NA,27367.115,10.2170973890986,16.7637513320822,0,"Argentina__2018"
"Argentina",2018,"Strategic",4,4,247341400.281065,247341400.281065,1,0,40,NA,NA,27367.115,10.2170973890986,19.3262801316663,1,"Argentina__2018"
"Argentina",2019,"Strategic",10,9,1252774542.67228,1252774542.67228,0.9,0.4,NA,NA,NA,26629.553,10.1897768930869,20.948626563448,1,"Argentina__2019"
"Argentina",2020,"Social",47,33,13347435.4369154,13347435.4369154,0,0.978723404255319,NA,NA,NA,23877.094,10.0806748683092,16.4068348971736,0,"Argentina__2020"
"Argentina",2020,"Strategic",1,1,12564416.2768582,12564416.2768582,1,0,NA,NA,NA,23877.094,10.0806748683092,16.3463793511919,1,"Argentina__2020"
"Argentina",2021,"Social",5,2,5342000,5342000,0,1,NA,NA,NA,26300.273,10.1773345983401,15.4911108598478,0,"Argentina__2021"
"Argentina",2021,"Strategic",5,5,44500000,44500000,1,0,NA,NA,NA,26300.273,10.1773345983401,17.6109997696084,1,"Argentina__2021"
"Armenia",2014,"Social",2,1,14985251.4230783,14985251.4230783,0,1,37,1.4391431,0.3148329,12667.376,9.44678514847247,16.5225771036413,0,"Armenia__2014"
"Armenia",2015,"Social",4,2,10783684.2256936,10783684.2256936,0,0.5,35,1.1463602,0.32356772,13112.76,9.48134108091598,16.1935449226961,0,"Armenia__2015"
"Armenia",2017,"Social",2,1,17052864.1025332,17052864.1025332,0,1,35,0.7856546,0.3362184,14243.875,9.56408226873434,16.6518287887808,0,"Armenia__2017"
"Armenia",2020,"Social",4,4,185180.330997928,185180.330997928,0,1,NA,0.3520105,0.25131604,15052.936,9.61932833420727,12.1290907915663,0,"Armenia__2020"
"Armenia",2021,"Social",5,1,1800000,1800000,0,0.8,NA,0.5235208,0.2794013,15921.705,9.67543855165374,14.4032977784218,0,"Armenia__2021"
"Azerbaijan",2014,"Strategic",1,1,5390378.20974042,5390378.20974042,0,1,29,NA,NA,20716.14,9.93866838558235,15.5001262947222,1,"Azerbaijan__2014"
"Azerbaijan",2015,"Strategic",3,3,604648408.622052,604648408.622052,1,0,29,NA,NA,20694.78,9.93763677353923,20.2201577059466,1,"Azerbaijan__2015"
"Azerbaijan",2016,"Social",3,2,16649343.5678543,16649343.5678543,0,0.666666666666667,30,NA,NA,19830.322,9.8949674594052,16.6278814083219,0,"Azerbaijan__2016"
"Azerbaijan",2017,"Strategic",2,2,49389213.4099188,49389213.4099188,1,0,31,NA,NA,19675.959,9.8871528141562,17.7152426265373,1,"Azerbaijan__2017"
"Azerbaijan",2018,"Strategic",4,3,170221663.744569,170221663.744569,0.25,1,25,NA,NA,19798.834,9.89337832605972,18.952612055924,1,"Azerbaijan__2018"
"Azerbaijan",2019,"Strategic",2,2,40743823.5344619,40743823.5344619,0.5,0.5,NA,NA,NA,20122.713,9.90960445607772,17.5228148410004,1,"Azerbaijan__2019"
"Azerbaijan",2020,"Social",8,3,945844.563369269,945844.563369269,0,1,NA,NA,NA,19126.096,9.85880896424228,13.7598345824546,0,"Azerbaijan__2020"
"Azerbaijan",2021,"Social",1,1,2700000,2700000,0,1,NA,NA,NA,20111.375,9.90904085437262,14.8087627013449,0,"Azerbaijan__2021"
"Azerbaijan",2021,"Strategic",3,3,152960000,152960000,1,0,NA,NA,NA,20111.375,9.90904085437262,18.845687013805,1,"Azerbaijan__2021"
"Bahamas",2014,"Social",5,2,1190127.37376412,1190127.37376412,0,1,71,NA,NA,32226.924,10.3805575312229,13.9895717363821,0,"Bahamas__2014"
"Bahamas",2015,"Social",4,1,167840.704922806,167840.704922806,0,1,NA,NA,NA,32290.7,10.3825345420556,12.0307765816029,0,"Bahamas__2015"
"Bahamas",2016,"Social",2,2,28600.2659969503,28600.2659969503,0,1,66,NA,NA,31756.84,10.3658634141893,10.2612062614559,0,"Bahamas__2016"
"Bahamas",2020,"Social",4,1,10866.8240332293,10866.8240332293,0,1,NA,NA,NA,25457.08,10.1447491758247,9.29356177914071,0,"Bahamas__2020"
"Bahamas",2021,"Social",2,2,332869.2,332869.2,0,1,NA,NA,NA,29340.473,10.2867231729031,12.715507903185,0,"Bahamas__2021"
"Bangladesh",2013,"Social",4,2,229969729.863207,229969729.863207,0.5,0.75,27,NA,NA,4822.726,8.48109460734174,19.2534582532842,0,"Bangladesh__2013"
"Bangladesh",2013,"Strategic",2,2,145814689.065766,145814689.065766,1,0,27,NA,NA,4822.726,8.48109460734174,18.7978471273726,1,"Bangladesh__2013"
"Bangladesh",2014,"Strategic",3,3,504060458.860283,504060458.860283,1,0,25,NA,NA,5068.6396,8.53082773710864,20.0382067788813,1,"Bangladesh__2014"
"Bangladesh",2015,"Social",4,1,5096846.52682163,5096846.52682163,0,0.75,25,NA,NA,5352.7114,8.58535851524673,15.4441327745765,0,"Bangladesh__2015"
"Bangladesh",2015,"Strategic",3,3,428137745.614069,428137745.614069,1,0.333333333333333,25,NA,NA,5352.7114,8.58535851524673,19.8749555396507,1,"Bangladesh__2015"
"Bangladesh",2016,"Social",4,3,409926346.102306,409926346.102306,0.25,1,26,13.468303,0.32385272,5682.5356,8.64515282055529,19.8314880603113,0,"Bangladesh__2016"
"Bangladesh",2016,"Strategic",5,5,1475691890.28945,1475691890.28945,0.8,0.6,26,13.468303,0.32385272,5682.5356,8.64515282055529,21.1123927955954,1,"Bangladesh__2016"
"Bangladesh",2017,"Strategic",5,5,789809099.825889,789809099.825889,0.6,0.6,28,NA,NA,6005.707,8.70046546280449,20.4873018297004,1,"Bangladesh__2017"
"Bangladesh",2018,"Strategic",6,6,6363204003.77473,6363204003.77473,1,0,26,NA,NA,6392.5933,8.76289530228762,22.5737978617824,1,"Bangladesh__2018"
"Bangladesh",2019,"Social",3,1,449425.844904855,449425.844904855,0,0.666666666666667,NA,NA,NA,6838.326,8.83029824382154,13.0157283719401,0,"Bangladesh__2019"
"Bangladesh",2019,"Strategic",4,4,2545740003.36741,2545740003.36741,1,0.25,NA,NA,NA,6838.326,8.83029824382154,21.6576872126084,1,"Bangladesh__2019"
"Bangladesh",2020,"Strategic",3,3,2743589391.79181,2743589391.79181,1,0,NA,NA,NA,7015.1978,8.85583418886035,21.7325328974177,1,"Bangladesh__2020"
"Bangladesh",2021,"Social",5,4,55800000,55800000,0,1,NA,NA,NA,7441.0693,8.91476984061824,17.8372844452727,0,"Bangladesh__2021"
"Bangladesh",2021,"Strategic",3,3,1506547500,1506547500,1,0,NA,NA,NA,7441.0693,8.91476984061824,21.1330864467378,1,"Bangladesh__2021"
"Barbados",2013,"Social",3,1,31585.0234613153,31585.0234613153,0,0.666666666666667,75,NA,NA,18695.684,9.83604797406473,10.3604700062055,0,"Barbados__2013"
"Barbados",2014,"Social",5,1,35935.8547316028,35935.8547316028,0,0.4,74,NA,NA,18665.178,9.83441492786898,10.489518642084,0,"Barbados__2014"
"Barbados",2015,"Social",4,2,5667491.62637371,5667491.62637371,0.25,1,NA,NA,NA,18464.664,9.82361413053296,15.5502573603261,0,"Barbados__2015"
"Barbados",2016,"Social",7,2,27748.9059464239,27748.9059464239,0,1,61,NA,NA,18754.666,9.83919785377303,10.2309877298508,0,"Barbados__2016"
"Barbados",2016,"Strategic",1,1,11217642.8294054,11217642.8294054,0,1,61,NA,NA,18754.666,9.83919785377303,16.2329984386271,1,"Barbados__2016"
"Barbados",2017,"Social",5,3,5421751.02878368,5421751.02878368,0,1,68,NA,NA,18740.35,9.83843423224554,15.5059295737241,0,"Barbados__2017"
"Barbados",2018,"Social",10,3,277788.93878822,277788.93878822,0,0.9,68,NA,NA,18484.697,9.82469847956747,12.5346204911815,0,"Barbados__2018"
"Barbados",2019,"Social",7,1,140445.576532767,140445.576532767,0,0.571428571428571,NA,NA,NA,18572.51,9.82943780945629,11.8525824572461,0,"Barbados__2019"
"Barbados",2020,"Social",6,3,134587.705021364,134587.705021364,0,1,NA,NA,NA,15749.038,9.66453456302328,11.8099787775258,0,"Barbados__2020"
"Barbados",2021,"Social",5,2,650000,650000,0,0.4,NA,NA,NA,15683.885,9.66038903107215,13.3847291803322,0,"Barbados__2021"
"Belarus",2013,"Social",2,1,27518963.4633241,27518963.4633241,0,0.5,29,0,0.26575053,26147.625,10.1715136431888,17.1303859418085,0,"Belarus__2013"
"Belarus",2013,"Strategic",2,2,456341735.613347,456341735.613347,1,0,29,0,0.26575053,26147.625,10.1715136431888,19.9387525091996,1,"Belarus__2013"
"Belarus",2014,"Strategic",1,1,32936083.1344025,32936083.1344025,1,0,31,0,0.27176666,26564.436,10.1873286077167,17.3100793969101,1,"Belarus__2014"
"Belarus",2015,"Social",5,2,37496327.6955205,37496327.6955205,0,0.2,32,0,0.25633225,25513.213,10.1469517538124,17.4397535846952,0,"Belarus__2015"
"Belarus",2015,"Strategic",12,11,763099835.194418,763099835.194418,0.833333333333333,0.583333333333333,32,0,0.25633225,25513.213,10.1469517538124,20.4528994276018,1,"Belarus__2015"
"Belarus",2016,"Social",2,2,71839101.2838889,71839101.2838889,0,1,40,0,0.25306615,24846.83,10.1204854579953,18.0899394858318,0,"Belarus__2016"
"Belarus",2016,"Strategic",1,1,1653126311.70185,1653126311.70185,1,0,40,0,0.25306615,24846.83,10.1204854579953,21.2259340670836,1,"Belarus__2016"
"Belarus",2017,"Social",8,4,85639845.2996386,85639845.2996386,0.125,0.75,44,0,0.2544457,25503.98,10.1465897973989,18.2656612269578,0,"Belarus__2017"
"Belarus",2017,"Strategic",4,3,202566122.907638,202566122.907638,0.75,0.25,44,0,0.2544457,25503.98,10.1465897973989,19.1265769290245,1,"Belarus__2017"
"Belarus",2018,"Social",6,3,229900134.479645,229900134.479645,0,0.666666666666667,44,0,0.25240526,26363.463,10.1797343532806,19.2531555790314,0,"Belarus__2018"
"Belarus",2018,"Strategic",3,3,761411054.247921,761411054.247921,1,0.666666666666667,44,0,0.25240526,26363.463,10.1797343532806,20.4506839214394,1,"Belarus__2018"
"Belarus",2019,"Strategic",1,1,82674076.7823996,82674076.7823996,1,1,NA,0,0.25277847,26798.82,10.1961131356789,18.2304166620363,1,"Belarus__2019"
"Belarus",2020,"Social",8,1,21733.6480664587,21733.6480664587,0,1,NA,0,0.24383356,26731.496,10.1935977746451,9.98666295127242,0,"Belarus__2020"
"Belarus",2021,"Social",9,4,45373643.4108526,45373643.4108526,0,1,NA,NA,NA,27611.18,10.2259760421493,17.6304419748601,0,"Belarus__2021"
"Belarus",2021,"Strategic",1,1,19550000,19550000,1,0,NA,NA,NA,27611.18,10.2259760421493,16.7884858955465,1,"Belarus__2021"
"Benin",2013,"Social",5,2,17902298.9295124,17902298.9295124,0,1,36,NA,NA,2893.0466,7.97006541269293,16.7004397502394,0,"Benin__2013"
"Benin",2013,"Strategic",3,3,239066408.593717,239066408.593717,1,1,36,NA,NA,2893.0466,7.97006541269293,19.2922519357075,1,"Benin__2013"
"Benin",2014,"Social",4,1,1796792.73658014,1796792.73658014,0,1,39,NA,NA,2987.3823,8.00215279797412,14.4015143770854,0,"Benin__2014"
"Benin",2014,"Strategic",1,1,6053394.72953849,6053394.72953849,0,1,39,NA,NA,2987.3823,8.00215279797412,15.6161299501593,1,"Benin__2014"
"Benin",2015,"Strategic",1,1,237148050.607728,237148050.607728,1,0,37,50.70926,0.4762964,2952.0022,7.99023893097754,19.2841951943896,1,"Benin__2015"
"Benin",2016,"Social",5,1,22034353.8122148,22034353.8122148,0,1,36,NA,NA,2962.6638,7.99384407505413,16.9081133756941,0,"Benin__2016"
"Benin",2016,"Strategic",1,1,71078560.6845641,71078560.6845641,1,1,36,NA,NA,2962.6638,7.99384407505413,18.0792963258823,1,"Benin__2016"
"Benin",2017,"Social",5,3,115915888.77658,115915888.77658,0.2,1,39,NA,NA,3041.7793,8.02019791923397,18.5683753979342,0,"Benin__2017"
"Benin",2019,"Strategic",1,1,54348453.2150965,54348453.2150965,1,1,NA,NA,NA,3281.1047,8.0959354434547,17.8109267298225,1,"Benin__2019"
"Benin",2020,"Social",18,8,1968323.53461576,1968323.53461576,0,1,NA,NA,NA,3317.8596,8.10707515520772,14.4926932487996,0,"Benin__2020"
"Benin",2021,"Social",10,1,1800000,1800000,0,1,NA,12.723279,0.34395808,3464.2886,8.15026258029966,14.4032977784218,0,"Benin__2021"
"Benin",2021,"Strategic",1,1,840000000,840000000,1,0,NA,12.723279,0.34395808,3464.2886,8.15026258029966,20.5489124509921,1,"Benin__2021"
"Bolivia",2013,"Social",1,1,5076164.48485425,5076164.48485425,0,1,34,5.173073,0.47588572,8524.032,9.05064474731751,15.4400667087141,0,"Bolivia__2013"
"Bolivia",2013,"Strategic",1,1,13576021.9752398,13576021.9752398,0,1,34,5.173073,0.47588572,8524.032,9.05064474731751,16.4238157782371,1,"Bolivia__2013"
"Bolivia",2014,"Strategic",1,1,1107095.23140848,1107095.23140848,0,1,35,4.2758923,0.47829148,8851.712,9.08836616562133,13.9172511378209,1,"Bolivia__2014"
"Bolivia",2015,"Social",7,1,9820466.77739824,9820466.77739824,0,0.571428571428571,34,4.6299644,0.46731615,9141.929,9.12062669250844,16.0999793143691,0,"Bolivia__2015"
"Bolivia",2015,"Strategic",1,1,552608490.460676,552608490.460676,1,0,34,4.6299644,0.46731615,9141.929,9.12062669250844,20.1301603367139,1,"Bolivia__2015"
"Bolivia",2016,"Social",5,3,64977267.0755006,64977267.0755006,0.2,1,33,5.620338,0.45240772,9390.791,9.14748480720609,17.9895480447776,0,"Bolivia__2016"
"Bolivia",2016,"Strategic",2,2,681630450.954316,681630450.954316,1,0,33,5.620338,0.45240772,9390.791,9.14748480720609,20.3399982096444,1,"Bolivia__2016"
"Bolivia",2017,"Social",1,1,4839820.25948809,4839820.25948809,0,1,33,4.9333615,0.4461778,9642.813,9.17396815001705,15.3923883481531,0,"Bolivia__2017"
"Bolivia",2017,"Strategic",1,1,456480323.493346,456480323.493346,1,0,33,4.9333615,0.4461778,9642.813,9.17396815001705,19.9390561562892,1,"Bolivia__2017"
"Bolivia",2018,"Social",6,1,57674008.9507915,57674008.9507915,0.166666666666667,0.833333333333333,29,3.274886,0.4257908,9907.0625,9.20100316562377,17.870317195874,0,"Bolivia__2018"
"Bolivia",2020,"Social",8,3,202542.598754268,202542.598754268,0,1,NA,3.1215072,0.4364544,9000.976,9.10508829488313,12.2187104448447,0,"Bolivia__2020"
"Bolivia",2021,"Social",16,10,8379500.5,8379500.5,0,0.9375,NA,1.9645011,0.40913323,9454.198,9.15421415464984,15.9412989838153,0,"Bolivia__2021"
"Bosnia and Herzegovina",2016,"Strategic",1,1,338565227.451569,338565227.451569,1,0,39,NA,NA,15083.248,9.6213400029854,19.6402273302802,1,"Bosnia and Herzegovina__2016"
"Bosnia and Herzegovina",2017,"Social",3,1,6480088.35896265,6480088.35896265,0,0.666666666666667,38,NA,NA,15773.863,9.66610960874208,15.6842448581967,0,"Bosnia and Herzegovina__2017"
"Bosnia and Herzegovina",2017,"Strategic",1,1,797877329.586322,797877329.586322,1,0,38,NA,NA,15773.863,9.66610960874208,20.497465422528,1,"Bosnia and Herzegovina__2017"
"Bosnia and Herzegovina",2020,"Social",5,3,270949.124127192,270949.124127192,0,1,NA,NA,NA,16983.043,9.73997065464527,12.5096900391126,0,"Bosnia and Herzegovina__2020"
"Bosnia and Herzegovina",2021,"Social",7,4,1838058.82352941,1838058.82352941,0,1,NA,NA,NA,18544.076,9.82790566393179,14.4242211295343,0,"Bosnia and Herzegovina__2021"
"Bosnia and Herzegovina",2021,"Strategic",2,2,467422355.294117,467422355.294117,1,0.5,NA,NA,NA,18544.076,9.82790566393179,19.9627438101064,1,"Bosnia and Herzegovina__2021"
"Botswana",2013,"Social",2,2,15240798.7898677,15240798.7898677,0,1,64,NA,NA,16369.827,9.70319510219694,16.5394865864959,0,"Botswana__2013"
"Botswana",2014,"Social",5,1,21593.295287121,21593.295287121,0,1,63,NA,NA,17052.23,9.74403626594802,9.98018445171211,0,"Botswana__2014"
"Botswana",2015,"Social",13,5,13350452.4417936,13350452.4417936,0,0.846153846153846,63,15.426243,0.5332503,15994.997,9.68003126482499,16.4070609079111,0,"Botswana__2015"
"Botswana",2016,"Social",5,1,14215712.1369128,14215712.1369128,0,0.8,60,NA,NA,16905.623,9.735401567465,16.4698584697239,0,"Botswana__2016"
"Botswana",2018,"Strategic",1,1,363752.908147005,363752.908147005,0,1,61,NA,NA,17824.951,9.78835449633061,12.8042328414569,1,"Botswana__2018"
"Botswana",2020,"Social",11,4,985409.67229379,985409.67229379,0,1,NA,NA,NA,16289.42,9.69827109629679,13.8008137594512,0,"Botswana__2020"
"Botswana",2021,"Social",8,4,3672148.66425993,3672148.66425993,0,1,NA,NA,NA,17961.357,9.79597789579479,15.1162877881326,0,"Botswana__2021"
"Brazil",2013,"Strategic",9,9,232791076.984237,232791076.984237,1,0,42,3.7285519,0.5268333,19241.506,9.86482499558469,19.2656519482772,1,"Brazil__2013"
"Brazil",2014,"Strategic",20,20,934179249.226512,934179249.226512,1,0.05,43,3.3259485,0.5202964,19183.172,9.86178871536836,20.6551788945102,1,"Brazil__2014"
"Brazil",2015,"Strategic",10,10,8375881477.1694,8375881477.1694,1,0,38,3.8774729,0.51926446,18357.068,9.81776995643277,22.8486221602437,1,"Brazil__2015"
"Brazil",2016,"Strategic",12,12,9640702912.45838,9640702912.45838,1,0.0833333333333333,40,4.7337537,0.533671,17620.928,9.77684256552667,22.9892598592445,1,"Brazil__2016"
"Brazil",2017,"Strategic",9,9,6055231530.29978,6055231530.29978,1,0,37,5.302752,0.53321064,17724.48,9.78270201387549,22.5241884512551,1,"Brazil__2017"
"Brazil",2018,"Strategic",7,7,1233826912.14879,1233826912.14879,1,0.285714285714286,35,5.3060746,0.5388832,17917.75,9.79354712061014,20.9333864877203,1,"Brazil__2018"
"Brazil",2019,"Social",3,2,57874314.9341014,57874314.9341014,0.333333333333333,0.666666666666667,NA,5.4092226,0.5350931,18018.621,9.79916100215193,17.8737842505877,0,"Brazil__2019"
"Brazil",2019,"Strategic",6,6,2489881600.40493,2489881600.40493,1,0.166666666666667,NA,5.4092226,0.5350931,18018.621,9.79916100215193,21.6355009966559,1,"Brazil__2019"
"Brazil",2020,"Social",15,14,70802084.7731184,70802084.7731184,0.0666666666666667,0.933333333333333,NA,1.9510684,0.48902002,17327.516,9.76005103717939,18.0753990183023,0,"Brazil__2020"
"Brazil",2020,"Strategic",3,3,130415709.040216,130415709.040216,1,0.666666666666667,NA,1.9510684,0.48902002,17327.516,9.76005103717939,18.6862376759687,1,"Brazil__2020"
"Brazil",2021,"Social",7,3,190160,190160,0,1,NA,5.834562,0.52938724,18075.705,9.8023240504157,12.1556263607497,0,"Brazil__2021"
"Brazil",2021,"Strategic",3,3,1880000000,1880000000,1,0,NA,5.834562,0.52938724,18075.705,9.8023240504157,21.3545376143202,1,"Brazil__2021"
"Brunei",2015,"Strategic",2,2,218428494.107151,218428494.107151,1,0,NA,NA,NA,81910.19,11.3133786821261,19.2019692654266,1,"Brunei__2015"
"Brunei",2017,"Social",4,1,9218.70525616779,9218.70525616779,0,1,62,NA,NA,78966.87,11.2767836764016,9.12909834816198,0,"Brunei__2017"
"Brunei",2018,"Strategic",5,5,1907237058.78768,1907237058.78768,1,0,63,NA,NA,78099.05,11.2657331718614,21.3689214661627,1,"Brunei__2018"
"Brunei",2020,"Social",10,7,255119.562036659,255119.562036659,0,0.8,NA,NA,NA,80280.9,11.2932870136098,12.4494915047101,0,"Brunei__2020"
"Brunei",2021,"Social",8,2,18936000,18936000,0,1,NA,NA,NA,78248.8,11.2676487728216,16.7565754829854,0,"Brunei__2021"
"Bulgaria",2016,"Strategic",1,1,174669620.719951,174669620.719951,1,0,41,1.966491,0.40589708,24983.693,10.1259786110232,18.9784068717181,1,"Bulgaria__2016"
