"model","estimate","std.error","conf.low","conf.high"
"M1: Bivariate",3.57624192117094,0.138415908467939,3.30494674057378,3.8475371017681
"M2: Controls",3.40767766093512,0.325683108294475,2.76933876867795,4.04601655319229
"M3: Country + Year FE",3.36353315181349,0.525312352051319,2.3339209417929,4.39314536183407
"M4: Country-Year FE",2.9067605743569,0.302439285552656,2.31397957467369,3.4995415740401
