"gini_quartile","sector_family","observations","mean_log_family_aid","median_log_family_aid","mean_family_aid_usd2021"
"Lowest inequality","Social",57,15.3895976554707,15.8125734245091,43690244.1626425
"Lowest inequality","Strategic",47,19.3140227882436,19.5150391557993,951034471.000161
"Low-middle","Social",49,15.2290161891688,15.8620413953097,57491378.4180629
"Low-middle","Strategic",55,19.5508337832663,19.9561214073108,1555458729.16801
"High-middle","Social",55,15.6990060789947,15.9748482210417,48879934.2311336
"High-middle","Strategic",49,19.306660189309,19.6141927741825,1732585725.74615
"Highest inequality","Social",49,15.7904243609222,16.3492074512868,53731099.4620524
"Highest inequality","Strategic",54,18.9848075584226,19.1335820996627,912694077.290327
