"sector_family","observations","countries","mean_family_aid_usd2021","median_family_aid_usd2021","mean_log_family_aid","mean_project_count","mean_loan_share","mean_development_intent_share","mean_log_gdp_pc","mean_cpi","mean_extreme_poverty","mean_gini"
"Social",770,135,51148977.4598871,7015997.4620993,15.345903067256,7.35064935064935,0.0588011962552285,0.895684955469829,8.92607103047288,34.0591133004926,10.2975120466833,0.380631268238095
"Strategic",575,121,910846384.255749,229068021.567225,18.922144988427,3.37913043478261,0.735262799761437,0.494701202020702,9.05143873570684,33.5452261306533,8.02655360880244,0.388264300829268
