"term","estimate","std.error","statistic","p.value","model"
"(Intercept)",15.345903067256,0.0997989445650844,153.768189975678,0,"M1_bivariate_HC1"
"strategic_family",3.57624192117094,0.138415908467939,25.8369284336945,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000801947711095144,"M1_bivariate_HC1"
"(Intercept)",13.0523079480098,3.05969000866128,4.26589226721062,0.0000274757678178878,"M2_controls_HC1"
"strategic_family",3.40767766093512,0.325683108294475,10.4631697934238,0.000000000000000000000915544182193292,"M2_controls_HC1"
"log_gdp_pc",0.362770884248305,0.347716249962256,1.04329574556174,0.297734307775421,"M2_controls_HC1"
"cpi",-0.0352203575270245,0.01400635374956,-2.51459859980553,0.0124919592901094,"M2_controls_HC1"
"extreme_poverty",-0.00419503870727395,0.018435202213645,-0.227555882417659,0.820161846224787,"M2_controls_HC1"
"gini",2.02164971351303,2.50310495551127,0.807656790044627,0.419991338933433,"M2_controls_HC1"
"(Intercept)",94.2730333748837,59.276101450497,1.59040542593061,0.113405939759964,"M3_country_year_FE_cluster_entity"
"strategic_family",3.36353315181349,0.525312352051319,6.4029203552497,0.00000000116524386308012,"M3_country_year_FE_cluster_entity"
"log_gdp_pc",-7.95836303185877,5.94413888387899,-1.3388588637191,0.182216286572313,"M3_country_year_FE_cluster_entity"
"cpi",-0.0260656643296339,0.0640230862789966,-0.407129144259717,0.684371432221723,"M3_country_year_FE_cluster_entity"
"extreme_poverty",-0.0231349174758309,0.0996631046520211,-0.232131214019548,0.81668593654003,"M3_country_year_FE_cluster_entity"
"gini",-9.62772822818661,21.3639973125095,-0.450652005210147,0.652754214742305,"M3_country_year_FE_cluster_entity"
"factor(entity)Angola",1.31927354498579,4.09705185672233,0.322005576478404,0.747802474506423,"M3_country_year_FE_cluster_entity"
"factor(entity)Armenia",1.55206663440016,0.508939178051839,3.04961123319547,0.00261846347065248,"M3_country_year_FE_cluster_entity"
"factor(entity)Bangladesh",-3.22283865740237,5.46398358539644,-0.589833151405512,0.556003293181569,"M3_country_year_FE_cluster_entity"
"factor(entity)Belarus",6.66385984036904,3.53576062818883,1.88470333292403,0.0609966539214282,"M3_country_year_FE_cluster_entity"
"factor(entity)Benin",-8.4170799261325,8.7419290743376,-0.962840107092757,0.336851568338463,"M3_country_year_FE_cluster_entity"
"factor(entity)Bolivia",-1.00519835786736,3.01118579265223,-0.33382143350975,0.738882449136815,"M3_country_year_FE_cluster_entity"
"factor(entity)Botswana",5.92707403712488,5.03809100482281,1.17645235694454,0.240885994392233,"M3_country_year_FE_cluster_entity"
"factor(entity)Brazil",7.83136770668137,4.85164912993183,1.61416613134005,0.10815090181892,"M3_country_year_FE_cluster_entity"
"factor(entity)Bulgaria",6.22507743087048,4.26486921620561,1.45961742677044,0.146046627091588,"M3_country_year_FE_cluster_entity"
"factor(entity)Burkina Faso",-8.8959670554216,10.4277298715515,-0.853106780191074,0.394674268067118,"M3_country_year_FE_cluster_entity"
"factor(entity)Burundi",-20.259053131808,15.5749767412271,-1.30074371656569,0.194921562930595,"M3_country_year_FE_cluster_entity"
"factor(entity)Cameroon",-8.95487333835323,6.15448149797816,-1.45501669658038,0.147314772341588,"M3_country_year_FE_cluster_entity"
"factor(entity)Chad",-11.6772468048017,12.1815440893854,-0.958601530242531,0.338977738704004,"M3_country_year_FE_cluster_entity"
"factor(entity)Chile",7.89931728059696,6.2988655983006,1.25408570119803,0.211351570722275,"M3_country_year_FE_cluster_entity"
"factor(entity)Colombia",1.63473203331668,3.97740728857893,0.411004434474385,0.681532461012764,"M3_country_year_FE_cluster_entity"
"factor(entity)Comoros",-8.96024833003878,7.84168858971912,-1.1426427136862,0.254624772179874,"M3_country_year_FE_cluster_entity"
"factor(entity)Costa Rica",6.24685617489953,5.09800545851788,1.22535297887179,0.22195905062921,"M3_country_year_FE_cluster_entity"
"factor(entity)Cote d'Ivoire",-4.41379109952332,5.55038196791905,-0.79522294592243,0.42747611330221,"M3_country_year_FE_cluster_entity"
"factor(entity)Djibouti",-3.24830120339107,5.91904617203817,-0.54878794808802,0.58379529184708,"M3_country_year_FE_cluster_entity"
"factor(entity)Ecuador",3.19962994492772,2.48043076052107,1.2899493087465,0.198636083984597,"M3_country_year_FE_cluster_entity"
"factor(entity)Egypt",-0.787459359590525,0.817456539679757,-0.963304250889002,0.336619269031747,"M3_country_year_FE_cluster_entity"
"factor(entity)El Salvador",-0.370448526073545,2.22555175450278,-0.166452442781457,0.867977907292299,"M3_country_year_FE_cluster_entity"
"factor(entity)Ethiopia",-12.1135389189504,11.3714907316215,-1.06525513715325,0.288112326710092,"M3_country_year_FE_cluster_entity"
"factor(entity)Georgia",3.10328558899525,1.86881371323529,1.66056443561881,0.0984503136527058,"M3_country_year_FE_cluster_entity"
"factor(entity)Ghana",-4.61434621981288,4.94673626423236,-0.932806192474248,0.352103898964658,"M3_country_year_FE_cluster_entity"
"factor(entity)Guinea",-7.66534989354346,9.04345096360729,-0.847613364012301,0.397719794212088,"M3_country_year_FE_cluster_entity"
"factor(entity)Guinea-Bissau",-15.9034576310525,11.1991144527592,-1.42006385398929,0.157227860900308,"M3_country_year_FE_cluster_entity"
"factor(entity)Honduras",-3.43248651657452,5.27840195863511,-0.650288959323987,0.516291114403,"M3_country_year_FE_cluster_entity"
"factor(entity)India",-5.84543355174025,4.08840790952029,-1.42975791092873,0.154428767539915,"M3_country_year_FE_cluster_entity"
"factor(entity)Indonesia",2.25428462887135,1.39657070017411,1.61415718415853,0.108152843422393,"M3_country_year_FE_cluster_entity"
"factor(entity)Iran",3.99226888430846,0.895341972926621,4.45893189979562,0.0000140682801159514,"M3_country_year_FE_cluster_entity"
"factor(entity)Israel",14.6403130661127,7.37437200697796,1.98529624654946,0.048550066860477,"M3_country_year_FE_cluster_entity"
