"term","estimate","std.error","statistic","p.value","model"
"(Intercept)",6.28652231447087,0.353770712867137,17.7700473380674,0.000000000000000000000000000000000000000000000000000000000000000173838158235912,"M1_bivariate_HC1"
"autocracy_score",3.38591823542502,0.237206633457965,14.2741296314761,0.000000000000000000000000000000000000000000153059321350921,"M1_bivariate_HC1"
"(Intercept)",27.2852085701021,7.91357588487949,3.44789877130466,0.00061511176605179,"M2_controls_HC1"
"autocracy_score",3.30566922042382,0.68502774373761,4.82559903689099,0.00000188291226519273,"M2_controls_HC1"
"log_gdp_pc",-2.57030344574485,0.873886657096125,-2.94123205208994,0.00342839846987101,"M2_controls_HC1"
"cpi",-0.0711484121600521,0.0368841318978959,-1.92897076599249,0.0543286801530802,"M2_controls_HC1"
"extreme_poverty",-0.0318299643101126,0.0466136796168363,-0.682845992244217,0.495036357603059,"M2_controls_HC1"
"gini",21.6742519151966,5.77764874665085,3.75139660882995,0.00019753067685313,"M2_controls_HC1"
"(Intercept)",75.191628957928,80.6422715417623,0.932409610001976,0.351784575826941,"M3_country_year_FE_cluster_entity"
"autocracy_score",1.83981375606376,2.04855456433296,0.898103369124965,0.36976412066153,"M3_country_year_FE_cluster_entity"
"log_gdp_pc",-7.65790208563704,7.60175786157576,-1.0073856896107,0.314463751519738,"M3_country_year_FE_cluster_entity"
"cpi",0.0171073747016308,0.1516812756703,0.112785013351391,0.910267365773417,"M3_country_year_FE_cluster_entity"
"extreme_poverty",0.0396653284817008,0.15268336242622,0.259788151448839,0.795183969167534,"M3_country_year_FE_cluster_entity"
"gini",17.2407439589487,38.4992336581559,0.447820445259598,0.654567148517704,"M3_country_year_FE_cluster_entity"
"factor(entity)Angola",0.668565314343344,6.25663893890157,0.106856943619751,0.914965309039754,"M3_country_year_FE_cluster_entity"
"factor(entity)Armenia",-4.44636420846559,1.77000427332894,-2.5120641093725,0.0124640117977935,"M3_country_year_FE_cluster_entity"
"factor(entity)Australia",0.400346960434769,13.7123003008974,0.0291961925898434,0.976725197384716,"M3_country_year_FE_cluster_entity"
"factor(entity)Austria",1.99346670147088,13.4799004874593,0.147884378176639,0.882521421257333,"M3_country_year_FE_cluster_entity"
"factor(entity)Bangladesh",2.20016733859328,8.53419957492837,0.257805939417786,0.796712192596824,"M3_country_year_FE_cluster_entity"
"factor(entity)Belarus",13.0580680942618,4.11937085833553,3.1699180635409,0.00166296685875703,"M3_country_year_FE_cluster_entity"
"factor(entity)Belgium",2.03530849778467,12.7800792980598,0.15925632778301,0.873561209148296,"M3_country_year_FE_cluster_entity"
"factor(entity)Benin",-9.60769618525236,12.4615525395329,-0.770987094487063,0.441248454719349,"M3_country_year_FE_cluster_entity"
"factor(entity)Bhutan",-12.9156081021699,5.05726351125669,-2.55387287481099,0.011087591486632,"M3_country_year_FE_cluster_entity"
"factor(entity)Bolivia",1.67728089498004,3.95327683708088,0.424276104128987,0.671632002497532,"M3_country_year_FE_cluster_entity"
"factor(entity)Botswana",3.23563892559368,8.44831583020085,0.38299218336831,0.701964191039961,"M3_country_year_FE_cluster_entity"
"factor(entity)Brazil",9.02727789065881,8.72199161949361,1.0350018991629,0.301401447848105,"M3_country_year_FE_cluster_entity"
"factor(entity)Bulgaria",1.69681221342323,6.12965296879809,0.276820273849197,0.782085831384577,"M3_country_year_FE_cluster_entity"
"factor(entity)Burkina Faso",-18.7362610633977,15.4426827751015,-1.21327759795768,0.225863452906823,"M3_country_year_FE_cluster_entity"
"factor(entity)Burundi",-19.119253364687,25.2666736997691,-0.756698471348909,0.449753012678445,"M3_country_year_FE_cluster_entity"
"factor(entity)Cameroon",-4.73428265984884,8.80708659430456,-0.537553776626932,0.591235768698718,"M3_country_year_FE_cluster_entity"
"factor(entity)Canada",0.449417513799922,13.739973708611,0.0327087608266868,0.973925973975658,"M3_country_year_FE_cluster_entity"
"factor(entity)Cape Verde",-18.5090689110519,4.57777112700235,-4.04324908291605,0.0000652172872775897,"M3_country_year_FE_cluster_entity"
"factor(entity)Chad",-12.1592781142301,18.0136508365315,-0.675003541734651,0.500130927681929,"M3_country_year_FE_cluster_entity"
"factor(entity)Chile",11.5548972710492,11.082696492471,1.04260702969705,0.297868920418726,"M3_country_year_FE_cluster_entity"
"factor(entity)China",-15.3051739253238,4.79617000702793,-3.19112414757959,0.00154890094250263,"M3_country_year_FE_cluster_entity"
"factor(entity)Colombia",-0.399760916290743,7.55240366143786,-0.0529316141206672,0.957817389967837,"M3_country_year_FE_cluster_entity"
"factor(entity)Comoros",-7.10599101548465,10.1160450714717,-0.702447544003561,0.482879324454603,"M3_country_year_FE_cluster_entity"
"factor(entity)Costa Rica",5.08155181463917,9.49844776477293,0.534987604341545,0.593007109353309,"M3_country_year_FE_cluster_entity"
"factor(entity)Cote d'Ivoire",-1.1251263232042,8.20348632526229,-0.137152215362318,0.890991422778952,"M3_country_year_FE_cluster_entity"
"factor(entity)Croatia",-5.00520999962498,6.33155643227711,-0.790518106118322,0.429774671804006,"M3_country_year_FE_cluster_entity"
"factor(entity)Cyprus",-1.66069307324337,10.0263671465559,-0.165632581469332,0.868544258520309,"M3_country_year_FE_cluster_entity"
"factor(entity)Czechia",0.618595472601147,9.0841379124725,0.0680962220698804,0.945748948552057,"M3_country_year_FE_cluster_entity"
"factor(entity)Denmark",2.22362704117117,14.634451847258,0.151944675781471,0.879320427390473,"M3_country_year_FE_cluster_entity"
"factor(entity)Djibouti",-3.07952122022557,8.38082138368993,-0.367448616220206,0.713512357487166,"M3_country_year_FE_cluster_entity"
"factor(entity)Dominican Republic",-11.0971826015816,5.70818399438997,-1.94408284885139,0.0527076273336603,"M3_country_year_FE_cluster_entity"
"factor(entity)East Timor",-19.8772204694966,12.0409911067754,-1.65079604272043,0.0997008735558215,"M3_country_year_FE_cluster_entity"
"factor(entity)Ecuador",7.58856951410356,4.56107129129531,1.66376910805717,0.097077239999061,"M3_country_year_FE_cluster_entity"
"factor(entity)Egypt",7.15926489068302,2.12097634133951,3.37545721333297,0.000821895122409474,"M3_country_year_FE_cluster_entity"
"factor(entity)El Salvador",-9.61006330635605,2.54211131114945,-3.78034717213494,0.000184841052523179,"M3_country_year_FE_cluster_entity"
"factor(entity)Estonia",-1.98051644587573,10.0879229940826,-0.196325492079734,0.844472357955106,"M3_country_year_FE_cluster_entity"
"factor(entity)Ethiopia",-9.3955736380397,17.2176190406597,-0.545695291308973,0.585632196236529,"M3_country_year_FE_cluster_entity"
"factor(entity)Finland",1.32527816153251,13.2698775215343,0.0998711675659299,0.920505294835368,"M3_country_year_FE_cluster_entity"
"factor(entity)France",0.442620299071916,12.2906588355073,0.0360127398372821,0.9712932724972,"M3_country_year_FE_cluster_entity"
"factor(entity)Gabon",-11.4697076964312,3.72423902549681,-3.07974531653515,0.00224004711192759,"M3_country_year_FE_cluster_entity"
"factor(entity)Gambia",-27.6092211759008,14.2497372281716,-1.93752493353475,0.0535066439455115,"M3_country_year_FE_cluster_entity"
"factor(entity)Georgia",5.2964305719687,3.45415390365351,1.5333510664845,0.126116601603944,"M3_country_year_FE_cluster_entity"
"factor(entity)Germany",1.54410671612287,13.9634582415074,0.110581969696654,0.912012899584987,"M3_country_year_FE_cluster_entity"
"factor(entity)Ghana",0.441374406388563,6.65917433353861,0.066280650465269,0.947193230069396,"M3_country_year_FE_cluster_entity"
"factor(entity)Greece",-3.50360330786475,7.66369900951625,-0.457168699281406,0.647840902923319,"M3_country_year_FE_cluster_entity"
"factor(entity)Guatemala",-16.1134660727174,4.45204538128562,-3.61934003198868,0.000340104913283132,"M3_country_year_FE_cluster_entity"
"factor(entity)Guinea",-2.73450378347927,13.4684074225349,-0.203030967039501,0.839231920037275,"M3_country_year_FE_cluster_entity"
"factor(entity)Guinea-Bissau",-9.09416073462698,16.070319922948,-0.56589792724915,0.571835362812536,"M3_country_year_FE_cluster_entity"
"factor(entity)Honduras",-11.3381530644496,6.68281598209735,-1.69661308867751,0.0906823903398523,"M3_country_year_FE_cluster_entity"
"factor(entity)Hungary",-4.82526612037628,6.6981962692673,-0.720382910025434,0.471782780601838,"M3_country_year_FE_cluster_entity"
"factor(entity)Iceland",2.56032070032975,13.1323161827351,0.194963376201357,0.84553772704282,"M3_country_year_FE_cluster_entity"
"factor(entity)India",-0.782040123467117,6.13429443202584,-0.127486564613569,0.898630451460634,"M3_country_year_FE_cluster_entity"
"factor(entity)Indonesia",8.27133562088036,1.6903849642262,4.89316682053351,0.0000015329718697251,"M3_country_year_FE_cluster_entity"
"factor(entity)Iran",8.18193119853211,1.78990640611138,4.57115029623677,0.00000679303017783945,"M3_country_year_FE_cluster_entity"
"factor(entity)Ireland",3.37052529494959,15.252432396299,0.220982805061797,0.8252380793344,"M3_country_year_FE_cluster_entity"
"factor(entity)Israel",4.53340381301914,11.5405140681061,0.392825119077484,0.694694098140637,"M3_country_year_FE_cluster_entity"
"factor(entity)Italy",-0.378946882945411,10.8851217411326,-0.0348132884461411,0.972248993592591,"M3_country_year_FE_cluster_entity"
"factor(entity)Jamaica",2.67528325994879,2.48783630960843,1.07534537124344,0.282980389527179,"M3_country_year_FE_cluster_entity"
"factor(entity)Japan",-0.498064358905896,11.4913917682646,-0.0433423878456031,0.965453970304975,"M3_country_year_FE_cluster_entity"
"factor(entity)Kazakhstan",15.6024581525598,4.89530447577218,3.18722936025315,0.00156929250507661,"M3_country_year_FE_cluster_entity"
"factor(entity)Kenya",-1.09827176832137,9.65494041181087,-0.113752309333557,0.909501086708656,"M3_country_year_FE_cluster_entity"
"factor(entity)Kosovo",-12.6269340620392,4.25318247217634,-2.96882020572657,0.00320103057556289,"M3_country_year_FE_cluster_entity"
"factor(entity)Kyrgyzstan",0.208272169938255,8.96471447274701,0.0232324376388571,0.981478452785984,"M3_country_year_FE_cluster_entity"
"factor(entity)Laos",-1.10717654818376,6.34519051059426,-0.174490670742692,0.861583411663429,"M3_country_year_FE_cluster_entity"
"factor(entity)Latvia",-4.6796522267097,7.69551074273288,-0.608101578069896,0.543524902553374,"M3_country_year_FE_cluster_entity"
"factor(entity)Lesotho",-15.7479325554982,11.9061686174123,-1.3226700428606,0.186831477321635,"M3_country_year_FE_cluster_entity"
"factor(entity)Liberia",-10.1084020285914,17.4242990242801,-0.580132492819696,0.562208401691935,"M3_country_year_FE_cluster_entity"
"factor(entity)Lithuania",-3.83507325598219,9.7065602235152,-0.395101165363534,0.69301526023217,"M3_country_year_FE_cluster_entity"
"factor(entity)Luxembourg",7.23562516197345,19.9903017618529,0.361956775248939,0.717608525480214,"M3_country_year_FE_cluster_entity"
"factor(entity)Malawi",-13.2862262303459,19.6216486822485,-0.67712078865044,0.498788411910033,"M3_country_year_FE_cluster_entity"
"factor(entity)Malaysia",11.6202731838045,8.21285374178814,1.41488860621966,0.1580136646586,"M3_country_year_FE_cluster_entity"
"factor(entity)Maldives",10.176098508071,2.74542113379384,3.70657105491456,0.00024507748666433,"M3_country_year_FE_cluster_entity"
"factor(entity)Mali",-9.18320680952683,14.7250970318509,-0.62364321197091,0.533278856212348,"M3_country_year_FE_cluster_entity"
"factor(entity)Malta",-1.30131164830991,9.82172806343353,-0.132493145799334,0.894672389436515,"M3_country_year_FE_cluster_entity"
"factor(entity)Mauritania",-1.90932016586385,7.81531249673932,-0.244305031521191,0.807141515914846,"M3_country_year_FE_cluster_entity"
"factor(entity)Mauritius",7.21513607393117,5.95897720265706,1.21080108692378,0.226810160433644,"M3_country_year_FE_cluster_entity"
"factor(entity)Mexico",-3.92660459811787,7.68326745149334,-0.5110592105387,0.609640316377339,"M3_country_year_FE_cluster_entity"
"factor(entity)Moldova",-2.90992994305075,3.05059181333914,-0.953890300998867,0.340814858448689,"M3_country_year_FE_cluster_entity"
"factor(entity)Mongolia",9.50464893571561,0.418362962163368,22.7186672705604,0.000000000000000000000000000000000000000000000000000000000000000000000311915424045066,"M3_country_year_FE_cluster_entity"
"factor(entity)Montenegro",6.40878001184846,5.42995920092434,1.18026301390211,0.238718278608378,"M3_country_year_FE_cluster_entity"
"factor(entity)Morocco",-19.5523240100708,6.07412870092473,-3.21895122292916,0.00141018989620306,"M3_country_year_FE_cluster_entity"
"factor(entity)Mozambique",-15.8861301331133,18.982630782537,-0.836877159710009,0.40324771629367,"M3_country_year_FE_cluster_entity"
"factor(entity)Myanmar",-1.03593154374785,7.884733463898,-0.13138447209295,0.89554865215625,"M3_country_year_FE_cluster_entity"
"factor(entity)Namibia",-18.1463269130534,8.67145558158082,-2.0926506216094,0.0371191371660158,"M3_country_year_FE_cluster_entity"
"factor(entity)Netherlands",2.4923153239809,14.0971451099024,0.17679574868178,0.859773786050464,"M3_country_year_FE_cluster_entity"
"factor(entity)Nicaragua",-20.8291752144889,5.7228811613331,-3.63963091794081,0.000315323287258553,"M3_country_year_FE_cluster_entity"
"factor(entity)Niger",-13.7277074981568,20.744416354245,-0.661754337347149,0.508575596766753,"M3_country_year_FE_cluster_entity"
"factor(entity)Nigeria",-3.61853890357726,9.53969998966807,-0.379313700378031,0.704691019449817,"M3_country_year_FE_cluster_entity"
"factor(entity)North Macedonia",-0.561757443123997,3.11128502165528,-0.180554799452326,0.856824294139413,"M3_country_year_FE_cluster_entity"
"factor(entity)Norway",4.81738432977034,16.1614335867374,0.298079022749791,0.765824386830243,"M3_country_year_FE_cluster_entity"
"factor(entity)Pakistan",1.1321287499169,10.0342515007797,0.112826427544589,0.910234556275022,"M3_country_year_FE_cluster_entity"
"factor(entity)Panama",3.81875313355033,11.0429284271586,0.345809823792629,0.729698885829211,"M3_country_year_FE_cluster_entity"
"factor(entity)Paraguay",-7.70006147659815,5.95327834452078,-1.29341533034232,0.196742925293425,"M3_country_year_FE_cluster_entity"
"factor(entity)Peru",6.32623628221393,3.88306464439149,1.62918644461694,0.10419696146867,"M3_country_year_FE_cluster_entity"
"factor(entity)Philippines",-3.03714308658086,3.96443846694736,-0.766096664610228,0.444148763384126,"M3_country_year_FE_cluster_entity"
"factor(entity)Poland",-3.76093647075253,8.00311697740435,-0.469933962151371,0.638702581029935,"M3_country_year_FE_cluster_entity"
"factor(entity)Portugal",-2.65227773843493,9.73489801685794,-0.272450490374114,0.785440555465437,"M3_country_year_FE_cluster_entity"
"factor(entity)Qatar",0.328919468637334,17.8506868056306,0.0184261520141389,0.985309666104194,"M3_country_year_FE_cluster_entity"
