"regime_family","observations","countries","mean_aid_usd2021","median_aid_usd2021","mean_project_count","mean_autocracy_score","mean_log_gdp_pc","mean_cpi","mean_extreme_poverty","mean_gini"
"Authoritarian",722,94,757862022.883706,39331379.6435273,8.52770083102493,2.28116343490305,9.07886475212356,31.4967741935484,9.69361184620573,0.363915428229167
"Democratic",842,106,274479096.461353,0,5.04038004750594,0.59144893111639,9.84114605096379,51.8935018050542,2.84914004764576,0.354020514792899
