"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"(Intercept)",6.28652231447087,0.374781823696422,16.7738185712097,0.00000000000000000000000000000000000000000000000000000000034264370169608,5.55139380816218,7.02165082077957,"M1_bivariate"
"autocracy_score",3.38591823542502,0.223419569288047,15.1549761116032,0.00000000000000000000000000000000000000000000000165569316426962,2.94768435142564,3.8241521194244,"M1_bivariate"
"(Intercept)",27.2852085701021,7.54197286028194,3.61778132533377,0.000328914643571242,12.4655318549147,42.1048852852896,"M2_controls"
"autocracy_score",3.30566922042382,0.535271192258195,6.17569050648494,0.00000000141362377368633,2.2538826161529,4.35745582469474,"M2_controls"
"log_gdp_pc",-2.57030344574485,0.797260262067144,-3.2239201776852,0.00135134865034852,-4.13688815250273,-1.00371873898697,"M2_controls"
"cpi",-0.0711484121600521,0.0335216565625657,-2.12246110293681,0.0343147097377476,-0.137017134100294,-0.00527969021980988,"M2_controls"
"extreme_poverty",-0.0318299643101126,0.0503939575994505,-0.631622635457782,0.527936700089728,-0.1308520867518,0.0671921581315743,"M2_controls"
"gini",21.6742519151966,4.93032627526178,4.39610904129175,0.000013603473539325,11.9863568705779,31.3621469598152,"M2_controls"
"(Intercept)",75.191628957928,59.4229735397428,1.2653629476761,0.20660518700477,-41.6900994162092,192.073357332065,"M3_country_year_FE"
"autocracy_score",1.83981375606376,1.14298298488384,1.60965979406136,0.108397453851295,-0.408371058957398,4.08799857108491,"M3_country_year_FE"
"log_gdp_pc",-7.65790208563704,6.13569127086962,-1.24809116814505,0.212853977522612,-19.7264701459296,4.41066597465548,"M3_country_year_FE"
"cpi",0.0171073747016308,0.100190866685411,0.170747846261738,0.86452330627828,-0.17996256252831,0.214177311931572,"M3_country_year_FE"
"extreme_poverty",0.0396653284817008,0.125103723147959,0.317059536547838,0.751392455586933,-0.206406830424877,0.285737487388278,"M3_country_year_FE"
"gini",17.2407439589487,18.3538939818679,0.939350743552357,0.348215583266205,-18.8603584128744,53.3418463307718,"M3_country_year_FE"
"factor(entity)Angola",0.668565314343344,7.01098950031631,0.0953596228197434,0.924085198859431,-13.1216663350681,14.4587969637548,"M3_country_year_FE"
"factor(entity)Armenia",-4.44636420846559,2.70559039911174,-1.64339887143499,0.101222100679978,-9.76811206595291,0.875383649021736,"M3_country_year_FE"
"factor(entity)Australia",0.400346960434769,10.0966550164708,0.0396514449371281,0.968394216679404,-19.4592194467096,20.2599133675792,"M3_country_year_FE"
"factor(entity)Austria",1.99346670147088,10.3483695579236,0.19263582444681,0.847358860493994,-18.3612083969649,22.3481417999067,"M3_country_year_FE"
"factor(entity)Bangladesh",2.20016733859328,7.3922528883517,0.297631503118647,0.766165670064322,-12.3399884749051,16.7403231520917,"M3_country_year_FE"
"factor(entity)Belarus",13.0580680942618,4.7626556530961,2.74176195916516,0.00643337020111248,3.69018575474169,22.4259504337819,"M3_country_year_FE"
"factor(entity)Belgium",2.03530849778467,10.0426485529312,0.202666506455672,0.839516570226259,-17.7180301589484,21.7886471545177,"M3_country_year_FE"
"factor(entity)Benin",-9.60769618525236,10.3966959160519,-0.924110531156215,0.356082223609462,-30.0574265784268,10.8420342079221,"M3_country_year_FE"
"factor(entity)Bhutan",-12.9156081021699,5.59937581212999,-2.3066156899472,0.021675199478039,-23.9292730831116,-1.90194312122815,"M3_country_year_FE"
"factor(entity)Bolivia",1.67728089498004,3.91286505569148,0.428657996406072,0.668442783441698,-6.01910996802698,9.37367175798706,"M3_country_year_FE"
"factor(entity)Botswana",3.23563892559368,6.94666708008936,0.46578292701945,0.641668245702007,-10.4280740526458,16.8993519038331,"M3_country_year_FE"
"factor(entity)Brazil",9.02727789065881,4.97626471788091,1.81406705680701,0.0705461527699861,-0.760761758419923,18.8153175397375,"M3_country_year_FE"
"factor(entity)Bulgaria",1.69681221342323,4.71032733787293,0.360232334551397,0.718896414989884,-7.56814320134277,10.9617676281892,"M3_country_year_FE"
"factor(entity)Burkina Faso",-18.7362610633977,12.1808464657707,-1.53817397797832,0.124933446641523,-42.695317690328,5.22279556353264,"M3_country_year_FE"
"factor(entity)Burundi",-19.119253364687,17.7833736516796,-1.07511958862098,0.283081303777264,-54.0981735518641,15.8596668224902,"M3_country_year_FE"
"factor(entity)Cameroon",-4.73428265984884,8.28803054315343,-0.571219258326663,0.568227298052231,-21.0363839684197,11.567818648722,"M3_country_year_FE"
"factor(entity)Canada",0.449417513799922,10.0606619437458,0.044670769807478,0.964395879726939,-19.3393524942585,20.2381875218584,"M3_country_year_FE"
"factor(entity)Cape Verde",-18.5090689110519,6.15630916296463,-3.00652037139386,0.00283862911017587,-30.6181912337776,-6.39994658832607,"M3_country_year_FE"
"factor(entity)Chad",-12.1592781142301,13.7221789544644,-0.886104033082456,0.376185925358073,-39.1500511724703,14.8314949440101,"M3_country_year_FE"
"factor(entity)Chile",11.5548972710492,7.1469972613067,1.61674852369211,0.106857257456681,-2.50285418139301,25.6126487234913,"M3_country_year_FE"
"factor(entity)China",-15.3051739253238,3.53998639901497,-4.32351207043694,0.0000201840014996918,-22.2681329307509,-8.34221491989674,"M3_country_year_FE"
"factor(entity)Colombia",-0.399760916290743,4.50229739271929,-0.088790428845771,0.929300587356132,-9.25553284368258,8.45601101110109,"M3_country_year_FE"
"factor(entity)Comoros",-7.10599101548465,9.46548922114778,-0.750726227610978,0.453335152993288,-25.7240889357206,11.5121069047513,"M3_country_year_FE"
"factor(entity)Costa Rica",5.08155181463917,5.66428558984429,0.897121399342942,0.37028706614767,-6.05978713742339,16.2228907667017,"M3_country_year_FE"
