"variable","n","mean","sd","min","median","max"
"china_aid_usd2021",2106,373050589.106509,1656657086.14564,0,0,43322819337.4812
"log_china_aid",2106,8.88949741388063,9.1517327869403,0,0,24.4919453386439
"china_project_count",2106,5.30959164292498,8.19397108326914,0,2,86
"autocracy_score",1564,1.37148337595908,0.966213682081749,0,1,3
"political_regime",1564,1.62851662404092,0.966213682081749,0,2,3
"log_gdp_pc",1908,9.58723165255993,1.13470668572945,6.72613771432756,9.670411379687,12.0687574175068
"cpi",1048,43.0324427480916,19.5366796052123,8,38,92
"extreme_poverty",717,4.77339350909052,11.3286887942012,0,0.6712102,78.94202
"gini",708,0.356885230367232,0.0713513863639891,0.23232324,0.347510695,0.630258
